first_name,last_name,position,height_feet,height_inches
Howard,Wright,,,
Duane,Ferrell,,,
Dominique,Wilkins,,,
Doc,Rivers,,,
Tim,McCormick,,,
John,Battle,,,
Kevin,Willis,,,
Moses,Malone,,,
Rumeal,Robinson,,,
Sidney,Moncrief,,,
Alexander,Volkov,,,
Stacey,Augmon,,,
Rodney,Monroe,,,
Paul,Graham,,,
Adam,Keefe,,,
Andre,Spencer,,,
Ricky,Grace,,,
Doug,Edwards,,,
Fred,Vinson,,,
Tom,Hovasse,,,
Sergei,Bazarevich,,,
Alan,Henderson,,,
Howard,Nathan,,,
Todd,Mundt,,,
Donnie,Boyce,,,
Priest,Lauderdale,,,
Ed,Gray,,,
Chris,Crawford,,,
Drew,Barry,,,
Shammond,Williams,,,
Jeff,Sheppard,,,
Roshown,McLeod,,,
Jason,Terry,,,
Cal,Bowdler,,,
Dion,Glover,,,
Hanno,Mottola,F,,
DerMarr,Johnson,,,
Andy,Panko,,,
Sean,Colson,,,
Dan,Dickau,,,
Mike,Wilks,G,,
Paul,Shirley,,,
Boris,Diaw,,,
Travis,Hansen,,,
Hiram,Fuller,,,
Josh,Davis,,,
Josh,Smith,,,
Josh,Childress,,,
Royal,Ivey,,,
Donta,Smith,,,
Salim,Stoudamire,,,
Esteban,Batista,,,
James,Lang,,,
Anthony,Grundy,,,
Shelden,Williams,F,,
Solomon,Jones,,,
Cedric,Bozeman,,,
Jeremy,Richardson,,,
Acie,Law,,,
Mario,West,,,
Othello,Hunter,,,
Jordan,Crawford,,,
Pape,Sy,,,
Ivan,Johnson,,,
Donald,Sloan,,,
Pero,Antic,,,
Adreian,Payne,,,
Jarell,Eddie,,,
Lamar,Patterson,,,
Edy,Tavares,,,
Malcolm,Delaney,,,
Andrew,White III,,,
Armond,Hill,,,
Charlie,Criss,,,
Dan,Roundfield,,,
Eddie,Johnson,,,
Jack,Givens,,,
John,Drew,,,
Ron,Lee,,,
Steve,Hawes,,,
Terry,Furlow,,,
Tom,McMillen,,,
Sam,Pellom,,,
Rick,Wilson,,,
Craig,Shelton,,,
Don,Collins,,,
Art,Collins,,,
Rudy,Macklin,,,
Al,Wood,,,
Keith,Edmonson,,,
John,Pinone,,,
Lorenzo,Charles,,,
Cedric,Henderson,,,
Spud,Webb,,,
Trevor,Wilson,,,
Jon,Koncak,,,
Gary,Leonard,,,
Deyonta,Davis,,,
Alex,Poythress,F,6,9
Eric,Moreland,,,
Lou,Williams,G,6,1
Chandler,Parsons,F,6,10
Nene,,C-F,6,11
Augusto,Binelli,C,,
Alain,Digbeau,G,,
Cat,Barber,G,,
Malik,Ellison,G,,
Marcus,Eriksson,F,,
Alpha,Kaba,F,,
Wes,Iwundu,F,6,7
Treveon,Graham,F,6,5
Jalen,Johnson,F,,
Juwan,Durham,F,,
Max,Heidegger,G,,
Justin,Jaworski,G,,
Ibi,Watson,G,,
Vince,Carter,F-G,6,6
AJ,Lawson,G,,
Gorgui,Dieng,C,6,11
Nahziah,Carter,G,,
Cameron,Oliver,F,,
Jahlil,Okafor,C,6,11
Skylar,Mays,G,,
Delon,Wright,G,6,5
Timothe,Luwawu-Cabarrot,G-F,6,6
Clint,Capela,C,6,10
Bogdan,Bogdanovic,G,6,6
Chaundee,Brown,G,,
Johnny,Hamilton,C,,
Onyeka,Okongwu,F-C,,
DeVaughn,Akoon-Purcell,G-F,,
Kevin,Huerter,G,6,7
Trae,Young,G,6,2
Justin,Tillman,F,,
Chris,Clemons,G,,
Kevin,Knox,F,6,9
John,Collins,F-C,6,10
De'Andre,Hunter,F,,
Sharife,Cooper,G,,
Danilo,Gallinari,F,6,10
