first_name,last_name,position,height_feet,height_inches
Jabari,Bird,G,,
Michael,Smith,,,
John,Bagley,,,
Rick,Fox,,,
Marcus,Webb,,,
Acie,Earl,,,
Dino,Radja,,,
Matt,Wenstrom,,,
Eric,Montross,,,
Greg,Minor,,,
Charles,Claxton,,,
Eric,Williams,,,
Junior,Burrough,,,
Larry,Sykes,,,
Thomas,Hamilton,,,
Antoine,Walker,F,,
Brett,Szabo,,,
Nate,Driggers,,,
Steve,Hamer,,,
Michael,Hawkins,,,
Ron,Mercer,G,,
Chauncey,Billups,,,
John,Thomas,,,
Reggie,Hanson,,,
Paul,Pierce,F,,
Marlon,Garnett,,,
Adrian,Griffin,F,,
Wayne,Turner,,,
Jamel,Thomas,,,
Jerome,Moiso,,,
Mark,Blount,,,
Joseph,Forte,,,
Kedrick,Brown,,,
Omar,Cook,,,
J.R.,Bremer,,,
Marcus,Banks,,,
Kendrick,Perkins,,,
Brandon,Hunter,,,
Tony,Allen,,,
Al,Jefferson,,,
Justin,Reed,,,
Delonte,West,,,
Ryan,Gomes,,,
Orien,Greene,,,
Dwayne,Jones,,,
Leon,Powe,,,
Allan,Ray,,,
Kevinn,Pinkney,,,
Glen,Davis,,,
Gabe,Pruitt,,,
Brandon,Wallace,,,
Henry,Walker,,,
J.R.,Giddens,,,
Lester,Hudson,,,
Oliver,Lafayette,,,
Semih,Erden,,,
Luke,Harangody,,,
JaJuan,Johnson,,,
Greg,Stiemsma,,,
Jared,Sullinger,,,
Kris,Joseph,,,
Jarvis,Varnado,,,
Fab,Melo,,,
Vitor,Faverani,C,,
Phil,Pressey,,,
Vander,Blue,,,
Chris,Babb,,,
James,Young,,,
Jordan,Mickey,,,
Coty,Clarke,,,
John,Holland,,,
Cedric,Maxwell,,,
Chris,Ford,,,
Dave,Cowens,,,
Don,Chaney,,,
Eric,Fernsten,,,
Jeff,Judkins,,,
M.L.,Carr,,,
Nate,Archibald,,,
Rick,Robey,,,
Wayne,Kreklow,,,
Charles,Bradley,,,
Tracy,Jackson,,,
Darren,Tillis,,,
Carlos,Clark,,,
Rick,Carlisle,,,
Ramon,Rivas,,,
Dee,Brown,,,
Larry,Bird,,,
Reggie,Lewis,,,
Ed,Pinckney,,,
Kevin,McHale,,,
Joe,Kleine,,,
Kevin,Gamble,,,
Brian,Shaw,,,
Dave,Popson,,,
Robert,Parish,,,
Stojko,Vrankovic,,,
Charles,Smith,,,
A.J.,Wynder,,,
Derek,Smith,,,
RJ,Hunter,,6,5
Guerschon,Yabusele,F,6,8
Jonathan,Gibson,,,
Joe,Johnson,,,
CJ,Miles,F-G,6,6
Ben,Pepper,C,,
Josip,Sesar,G,,
K.J.,Lawson,F,,
Luke,Kornet,F-C,7,1
Daniel,Theis,F,6,8
Dedric,Lawson,F,,
Al-Farouq,Aminu,F,6,9
Al,Horford,C-F,6,10
Marcus,Smart,G,6,4
Carsen,Edwards,G,,
Jabari,Parker,F,6,8
Yam,Madar,G,,
Arnas,Velicka,G,,
Zach,Auguste,C,,
Juhann,Begarin,G,,
Aaron,Nesmith,G-F,,
Payton,Pritchard,G,,
Malik,Fitts,F,,
Robert,Williams III,C-F,6,10
Nik,Stauskas,G,6,6
Matt,Ryan,F,,
Kelan,Martin,F,,
Jaylen,Brown,G,6,7
Jayson,Tatum,F,6,8
Derrick,White,G,6,4
Sam,Hauser,F,,
Grant,Williams,F,,
Brodric,Thomas,G,,
