first_name,last_name,position,height_feet,height_inches
Roy,Hinson,,,
Doug,Lee,,,
Rafael,Addison,,,
Kenny,Anderson,,,
P.J.,Brown,,,
Rex,Walters,,,
David,Wesley,,,
Yinka,Dare,,,
Chris,Childs,,,
Ed,O'Bannon,,,
Ed,O'Bannon,F,,
Kerry,Kittles,,,
Evric,Gray,,,
Robert,Werdann,,,
Keith,Van Horn,,,
Earl,Boykins,,,
Damon,Jones,,,
Evan,Eschmeyer,,,
Stephen,Jackson,F,,
Kenyon,Martin,F,,
Soumaila,Samake,,,
Eddie,Gill,,,
Richard,Jefferson,,,
Brandon,Armstrong,,,
Jason,Collins,,,
Brian,Scalabrine,,,
Tamar,Slay,,,
Zoran,Planinic,,,
Nenad,Krstic,,,
Awvee,Storey,,,
Billy,Thomas,,,
Antoine,Wright,,,
Derrick,Zimmerman,,,
Marcus,Williams,,,
Hassan,Adams,,,
Mile,Ilic,,,
Josh,Boone,,,
Sean,Williams,,,
Chris,Douglas-Roberts,,,
Terrence,Williams,,,
Damion,James,,,
Ben,Uzoh,,,
Dennis,Horner,,,
Jordan,Williams,,,
Jerry,Smith,,,
Tornike,Shengelia,,,
Tyshawn,Taylor,,,
Mirza,Teletovic,,,
Jorge,Gutierrez,,,
Cory,Jefferson,,,
Markel,Brown,,,
Chris,McCullough,,,
Mike,James,,,
Jacob,Wiley,,,
Yakuba,Ouattara,,,
James,Webb III,,,
Calvin,Natt,,,
Eddie,Jordan,,,
George,Johnson,,,
Jan,Van Breda Kolff,,,
John,Williamson,,,
Ralph,Simpson,,,
Rich,Kelley,,,
Mike,Newlin,,,
Tim,Bassett,,,
Winford,Boynes,,,
Bob,Elliott,,,
Phil,Jackson,,,
Darwin,Cook,,,
Mike,O'Koren,,,
Lowes,Moore,,,
Edgar,Jones,,,
Joe,Cooper,,,
Ray,Tolbert,,,
David,Burns,,,
Edmund,Sherod,,,
Eddie,Phillips,,,
Bruce,Kuczenski,,,
Mark,Jones,,,
Wayne,Sappleton,,,
Yvon,Joseph,,,
Dwayne,Washington,,,
Dallas,Comegys,,,
Jamie,Waller,,,
Ricky,Wilson,,,
Bill,Jones,,,
Jay,Taylor,,,
Stanley,Brundy,,,
Chris,Dudley,,,
Chris,Morris,,,
Derrick,Coleman,,,
Derrick,Gervin,,,
Jack,Haley,,,
Jud,Buechler,,,
Kurk,Lee,,,
Lester,Conner,,,
Mookie,Blaylock,,,
Reggie,Theus,,,
Sam,Bowie,,,
Tate,George,,,
Mitchell,Creek,,,
Alan,Williams,F-C,6,8
Deng,Adel,,6,7
Iman,Shumpert,G,6,5
C.J.,Williams,G,6,5
LaMarcus,Aldridge,F,6,11
RaiQuan,Gray,F,,
Juan Pablo,Vaulet,F,,
Andre,Drummond,C,6,11
Isaia,Cordinier,G,,
Kessler,Edwards,F,,
Kevin,Durant,F,6,9
Wilson,Chandler,F,6,9
Christian,Drejer,F,,
Nemanja,Dangubic,F,,
Dzanan,Musa,G-F,6,9
Goran,Dragic,G,6,3
Blake,Griffin,F,6,10
Jordan,Bowden,G,,
Brandon,Rachal,G,,
Jamal,Crawford,G,6,5
Andre,Roberson,G-F,6,7
Patty,Mills,G,6,0
Joe,Harris,F-G,6,6
Aaron,White,F,,
Noah,Vonleh,F,6,9
Ben,Simmons,G-F,6,10
Seth,Curry,G,6,2
Lance,Thomas,F,6,8
James,Johnson,F,6,8
Kaiser,Gates,F,,
Marcus,Zegarowski,G,,
Kyrie,Irving,G,6,3
Nicolas,Claxton,F-C,,
Bruce,Brown,G,6,5
Day'Ron,Sharpe,C,,
Cam,Thomas,G,,
David,Duke Jr.,G,,
