first_name,last_name,position,height_feet,height_inches
Kevin,Lynch,,,
Larry,Johnson,,,
Ronnie,Grandison,,,
Cedric,Hunter,,,
Tony,Bennett,,,
Lorenzo,Williams,,,
Alonzo,Mourning,,,
Scott,Burrell,,,
Darrin,Hancock,,,
James,Blackwell,,,
George,Zidek,,,
Corey,Beck,,,
Anthony,Goldwire,,,
Malik,Rose,,,
Tony,Delk,,,
Jamie,Feick,,,
Travis,Williams,,,
Michael,McDonald,,,
Ricky,Davis,,,
Brad,Miller,,,
Baron,Davis,,,
Jason,Miskiri,,,
Eddie,Robinson,,,
Derek,Hood,,,
Jamaal,Magloire,,,
Lee,Nailon,,,
Terrance,Roberson,,,
Kirk,Haston,,,
Emeka,Okafor,F,,
Bernard,Robinson,,,
Sean,May,,,
Kevin,Burleson,,,
Alan,Anderson,,,
Adam,Morrison,,,
Walter,Herrmann,,,
Ryan,Hollins,,,
Jermareo,Davidson,,,
Alexis,Ajinca,,,
Cartier,Martin,,,
Dontell,Jefferson,,,
Gerald,Henderson,,,
Derrick,Brown,,,
Sherron,Collins,,,
Cory,Higgins,,,
Jeffery,Taylor,,,
James,Southerland,,,
Justin,Hamilton,,,
PJ,Hairston,,,
Aaron,Harrison,,,
Mike,Tobey,,,
Mangok,Mathiang,,,
Marcus,Paige,,,
Terry,Dozier,,,
Armen,Gilliam,,,
Dave,Hoppen,,,
Dell,Curry,,,
J.R.,Reid,,,
Johnny,Newman,,,
Kelly,Tripucka,,,
Kendall,Gill,,,
Kenny,Gattison,,,
Muggsy,Bogues,,,
Rex,Chapman,,,
Steve,Scheffler,,,
Randolph,Keys,,,
Earl,Cureton,,,
Jeff,Sanders,,,
Scott,Haffner,,,
Shelvin,Mack,G,,
Tony,Parker,G,6,2
Joe,Chealey,G,6,3
Ahmed,Hill,G,,
Josh,Perkins,F,,
Thomas,Welsh,C,7,0
JT,Thor,,,
LiAngelo,Ball,F,,
Kenny,Williams,G,,
D.J.,Carton,G,,
Kelly,Oubre Jr.,F,6,7
Terry,Rozier,G,6,1
Denzel,Mahoney,G-F,,
Cameron,McGriff,F,,
LaMelo,Ball,G,,
Isaiah,Thomas,G,5,9
Nate,Darling,,,
Gordon,Hayward,F,6,8
Miles,Bridges,F,6,7
Arnoldas,Kulboka,F,,
Jalen,McDaniels,F,,
P.J.,Washington,F,,
Nick,Richards,C,,
Cody,Martin,F,,
Kai,Jones,F-C,,
James,Bouknight,G,,
JT,Thor,F,,
Scottie,Lewis,G,,
Mason,Plumlee,F-C,6,11
Montrezl,Harrell,F-C,6,8
