first_name,last_name,position,height_feet,height_inches
Mark,Randall,,,
Chuck,Nevitt,,,
Corey,Williams,,,
Jojo,English,,,
Joe,Courtney,,,
Ricky,Blanton,,,
Corie,Blount,,,
Toni,Kukoc,,,
Dickey,Simpkins,,,
Jason,Caffey,,,
Matt,Steigenga,,,
Keith,Booth,,,
Rusty,LaRue,,,
Kornel,David,,,
Cory,Carr,,,
Corey,Benjamin,,,
Charles,R. Jones,,,
Elton,Brand,F,,
Michael,Ruffin,,,
Metta,World Peace,,,
Dedric,Willoughby,,,
Lari,Ketner,,,
Khalid,El-Amin,G,,
Marcus,Fizer,,,
A.J.,Guyton,,,
Dragan,Tarlac,,,
Jake,Voskuhl,,,
Dalibor,Bagaric,,,
Steve,Goodrich,,,
Trenton,Hassell,,,
Eddy,Curry,,,
Jay,Williams,G,,
Lonny,Baxter,,,
Roger,Mason Jr.,,,
Kirk,Hinrich,,,
Linton,Johnson,,,
Ronald,Dupree,,,
Andres,Nocioni,F,,
Ben,Gordon,G,,
Jared,Reiner,,,
Chris,Duhon,,,
Eddie,Basden,,,
Randy,Holcomb,,,
Luke,Schenscher,,,
Tyrus,Thomas,,,
Aaron,Gray,,,
Thomas,Gardner,,,
JamesOn,Curry,,,
Omer,Asik,,,
Marquis,Teague,,,
Erik,Murphy,,,
Cameron,Bairstow,,,
Paul,Zipser,,,
Artis,Gilmore,,,
Coby,Dietrick,,,
Del,Beshore,,,
Mark,Landsberger,,,
Ollie,Johnson,,,
Ricky,Sobers,,,
Scott,May,,,
Roger,Brown,,,
Sammy,Smith,,,
Dennis,Awtrey,,,
John,Mengelt,,,
James,Wilkes,,,
Sam,Worthen,,,
Ronnie,Lester,,,
Roger,Burkman,,,
Ray,Blume,,,
Wallace,Bryant,,,
Perry,Young,,,
Tony,White,,,
B.J.,Armstrong,,,
Bill,Cartwright,,,
Cliff,Levingston,,,
Craig,Hodges,,,
Dennis,Hopson,,,
Horace,Grant,,,
John,Paxson,,,
Michael,Jordan,,,
Scott,Williams,,,
Scottie,Pippen,,,
Stacey,King,,,
Will,Perdue,,,
Walter,Lemon Jr.,,,
Brandon,Sampson,,6,5
Rawle,Alkins,G,6,5
Perrion,Callandret,G,,
Jon,Diebler,G,,
Ersan,Ilyasova,F,6,10
Cristiano,Felicio,F-C,6,10
Simisola,Shittu,F,,
Devon,Dotson,G,,
Albert,Miralles,C,,
Ryan,Daly,G,,
Jordan,Bell,F,6,9
Ethan,Thompson,G,,
Jerome,Robinson,G,6,5
Adam,Mokoka,G,,
Alex,Caruso,G,6,5
Lonzo,Ball,G,6,6
Tony,Bradley,C,6,10
Zach,LaVine,G,6,5
Omari,Spellman,F,6,9
Jaylen,Adams,G,6,2
DeMar,DeRozan,G,6,7
Sterling,Manley,F-C,,
Troy,Baxter Jr.,F,,
Matt,Thomas,G,,
Javonte,Green,G-F,,
Patrick,Williams,F,,
Tyler,Cook,C,,
Tristan,Thompson,C-F,6,10
Nikola,Vucevic,C,7,0
Alfonzo,McKinnie,F,6,8
Troy,Brown Jr.,F,6,7
Derrick,Jones Jr.,F-G,6,7
Coby,White,G,,
Malcolm,Hill,F,,
Mac,McClung,G,,
Ayo,Dosunmu,G,,
Marko,Simonovic,C,,
