first_name,last_name,position,height_feet,height_inches
Billy,Preston,F,,
John,Morton,,,
Larry,Nance,,,
Mark,Price,,,
Winston,Bennett,,,
Jimmy,Oliver,,,
Terrell,Brandon,,,
Bobby,Phills,,,
Jay,Guidinger,,,
Chris,Mills,,,
Gerald,Madkins,,,
Sedric,Toney,,,
Elmer,Bennett,,,
Bob,Sura,,,
Donny,Marshall,,,
John,Amaechi,,,
Darryl,Johnson,,,
Reggie,Geary,,,
Vitaly,Potapenko,,,
Shawnelle,Scott,,,
Zydrunas,Ilgauskas,C,,
Derek,Anderson,G,,
Brevin,Knight,,,
Cedric,Henderson,,,
Ryan,Stack,,,
Andre,Miller,,,
Trajan,Langdon,,,
A.J.,Bramlett,,,
Chris,Mihm,,,
DeSagana,Diop,,,
Jeff,Trepagnier,,,
Carlos,Boozer,,,
Smush,Parker,,,
Dajuan,Wagner,,,
Jason,Kapono,,,
Luke,Jackson,,,
Martynas,Andriuskevicius,,,
Shannon,Brown,,,
Daniel,Gibson,,,
Demetris,Nichols,,,
Lance,Allred,,,
JJ,Hickson,,,
Darnell,Jackson,,,
Jawad,Williams,,,
Trey,Johnson,,,
Cedric,Jackson,,,
Manny,Harris,,,
Samardo,Samuels,,,
Christian,Eyenga,,,
Mychel,Thompson,,,
D.J.,Kennedy,,,
Kevin,Jones,,,
Sergey,Karasev,,,
Carrick,Felix,,,
Shane,Edwards,,,
Alex,Kirk,,,
Will,Cherry,,,
Sasha,Kaun,,,
Kay,Felder,,,
Sheldon,Mac,,,
Trevon,Scott,F,,
Bill,Willoughby,,,
Bingo,Smith,,,
Campy,Russell,,,
Dave,Robisch,,,
Earl,Tatum,,,
John,Lambert,,,
Kenny,Carr,,,
Mike,Mitchell,,,
Randy,Smith,,,
Willie,Smith,,,
Austin,Carr,,,
Walt,Frazier,,,
Foots,Walker,,,
Butch,Lee,,,
Chad,Kinch,,,
Walter,Jordan,,,
Mickey,Dillard,,,
Brad,Branson,,,
Bruce,Flowers,,,
Dave,Magley,,,
Paul,Thompson,,,
John,Garris,,,
Stewart,Granger,,,
Mel,Turpin,,,
Butch,Graves,,,
Dirk,Minniefield,,,
Keith,Lee,,,
Ben,McDonald,,,
Kannard,Johnson,,,
Gary,Voce,,,
Brad,Daugherty,,,
Chucky,Brown,,,
Craig,Ehlo,,,
Danny,Ferry,,,
Derrick,Chievous,,,
Gerald,Paddio,,,
Hot,"Rod,Williams",,,
Steve,Kerr,,,
Milos,Babic,,,
Darnell,Valentine,,,
Henry,James,,,
Channing,Frye,F-C,7,0
Levi,Randolph,G,,
Sir'Dominic,Pointer,G-F,,
J.P.,Macura,G,6,5
Rajon,Rondo,G,6,1
James,Banks III,C,,
Ejike,Ugboaja,F,,
Edin,Bavcic,F,,
Renaldas,Seibutis,G,,
Sergiy,Gladyr,G,,
Chukwudiebere,Maduabum,F,,
MIlan,Macvan,F,,
Arturas,Gudaitis,C-F,,
Aleksandar,Vezenkov,F,,
Moses,Brown,C,,
Mitch,Ballock,G,,
Jaylen,Hands,G,,
Ed,Davis,C,6,10
Thon,Maker,F,7,1
Anderson,Varejao,,,
Matthew,Dellavedova,G,6,4
Mfiondu,Kabengele,F,,
Caris,LeVert,G,6,7
Sehmus,Hazer,G,,
Tre,Scott,F,,
Chandler,Vaudrin,F,,
Ante,Zizic,C,6,11
Jeremiah,Martin,G,,
Dean,Wade,F,,
Tim,Frazier,G,6,1
Trevon,Bluiett,G-F,6,6
Isaac,Okoro,F-G,,
Lamar,Stevens,F,,
Collin,Sexton,G,6,2
Tacko,Fall,C,,
Brandon,Goodwin,,6,2
Cedi,Osman,F,6,8
Lauri,Markkanen,F,7,0
Jarrett,Allen,C,6,11
Malik,Newman,G,,
Kevin,Love,F-C,6,10
Evan,Mobley,F-C,,
Darius,Garland,G,,
Dylan,Windler,G-F,,
Kevin,Pangos,G,,
RJ,Nembhard Jr.,G,,
