first_name,last_name,position,height_feet,height_inches
Herb,Williams,,,
Roy,Tarpley,,,
James,Donaldson,,,
Rolando,Blackman,,,
Derek,Harper,,,
Alex,English,,,
Lafayette,Lever,,,
Rodney,McCray,,,
Donald,Hodge,,,
Joao,Vianna,,,
Mike,Iuzzolino,,,
Doug,Smith,,,
Tracy,Moore,,,
Brian,Howard,,,
Sean,Rooks,,,
Walter,Bond,,,
Radisav,Curcic,,,
Dexter,Cambridge,,,
Jim,Jackson,,,
Darren,Morningstar,,,
Jamal,Mashburn,,,
Lucious,Harris,,,
Popeye,Jones,,,
Jason,Kidd,,,
Tony,Dumas,,,
Cherokee,Parks,,,
Loren,Meyer,,,
Erick,Strickland,,,
Samaki,Walker,,,
Stevin,Smith,,,
Kevin,Ollie,,,
Bubba,Wells,,,
Chris,Anstey,,,
Bruno,Sundov,,,
Rick,Hughes,,,
Leon,Smith,,,
Greg,Buckner,,,
Eduardo,Najera,F,,
Courtney,Alexander,,,
Donnell,Harvey,,,
Wang,Zhi-zhi,,,
Adam,Harrington,,,
Antoine,Rigaudeau,,,
Josh,Howard,,,
Marquis,Daniels,,,
DJ,Mbenga,,,
Pavel,Podkolzin,,,
Josh,Powell,,,
Rawle,Marshall,,,
Maurice,Ager,,,
Pops,Mensah-Bonsu,,,
Nick,Fazekas,,,
Rodrigue,Beaubois,,,
Dominique,Jones,,,
Bernard,James,,,
Chris,Wright,,,
Josh,Akognon,,,
Gal,Mekel,,,
Ricky,Ledo,,,
Shane,Larkin,,,
Nicolas,Brussino,,,
AJ,Hammons,,,
Pierre,Jackson,,,
Ben,Bentil,,,
Gian,Clavell,,,
Kyle,Collinsworth,,,
Jameel,Warney,,,
Darrell,Allums,,,
Ralph,Drollinger,,,
Scott,Lloyd,,,
Clarence,Kea,,,
Elston,Turner,,,
Jay,Vincent,,,
Kurt,Nimphius,,,
Bill,Garnett,,,
Corny,Thompson,,,
Charlie,Sitton,,,
Tom,Sluby,,,
Uwe,Blab,,,
Harold,Keeling,,,
Myron,Jackson,,,
Dennis,Nutt,,,
Brad,Davis,,,
John,Shasky,,,
Randy,White,,,
Steve,Alford,,,
Jim,Grandholm,,,
Kelvin,Upshaw,,,
Dirk,Nowitzki,F,7,0
Devin,Harris,G,6,3
Salah,Mejri,C,,
Eugene,Omoruyi,F,,
Petteri,Koponen,G,,
Stanko,Barac,C,,
J.J.,Barea,G,6,0
George,King,F,6,6
Maxi,Kleber,F,6,11
Tariq,Owens,F,,
Sterling,Brown,G,6,6
JJ,Redick,G,6,4
Josh,Reaves,G,,
Devonte,Patterson,F,,
Devontae,Shuler,G,,
Antonius,Cleveland,,,
Marquese,Chriss,F,6,10
Spencer,Dinwiddie,G,6,6
Brandon,Knight,G,6,3
Michael,Kidd-Gilchrist,F,6,7
Courtney,Lee,G,6,5
Dorian,Finney-Smith,F,6,8
LJ,Figueroa,G,,
Nicolo,Melli,F,,
Robert,Franks,F,,
EJ,Onu,F-C,,
Luka,Doncic,F-G,6,7
Theo,Pinson,G-F,6,6
Davis,Bertans,F,6,10
Boban,Marjanovic,C,7,3
JaQuori,McLaughlin,G,,
Frank,Ntilikina,G,6,6
Jalen,Brunson,G,6,3
Josh,Green,G,,
Tim,Hardaway Jr.,G,6,6
Trey,Burke,G,6,1
Moses,Wright,C,,
Reggie,Bullock,G-F,6,7
Dwight,Powell,F-C,6,11
