first_name,last_name,position,height_feet,height_inches
Joe,Wolf,,,
Anthony,Cook,,,
Todd,Lichti,,,
Jerome,Lane,,,
Avery,Johnson,,,
Michael,Adams,,,
T.R.,Dunn,,,
Corey,Gaines,,,
Marcus,Liberty,,,
Walter,Davis,,,
Blair,Rasmussen,,,
Dikembe,Mutombo,,,
Mark,Macon,,,
Kevin,Brooks,,,
Bryant,Stith,,,
LaPhonso,Ellis,,,
Robert,Werdann,,,
Gary,Plummer,,,
Darnell,Mee,,,
Rodney,Rogers,,,
Adonis,Jordan,,,
Roy,Marble,,,
Jalen,Rose,,,
Reggie,Slater,,,
Eldridge,Recasner,,,
Antonio,McDyess,,,
Rastko,Cvetkovic,,,
Darvin,Ham,,,
Jeff,McInnis,,,
Tony,Battie,F,,
Bobby,Jackson,G,,
Danny,Fortson,,,
Eric,Washington,,,
Kiwane,Garris,,,
Raef,LaFrentz,C,,
Keon,Clark,,,
Tyson,Wheeler,,,
James,Posey,F,,
Ryan,Bowen,,,
Chris,Herren,,,
Dan,McClintock,,,
Chris,Andersen,,,
Kenny,Satterfield,,,
Mengke,Bateer,,,
Nikoloz,Tskitishvili,,,
Junior,Harrington,,,
Predrag,Savovic,,,
Vincent,Yarbrough,,,
Francisco,Elson,,,
Linas,Kleiza,,,
Julius,Hodge,,,
Yakhouba,Diawara,,,
Sonny,Weems,,,
Ty,Lawson,,,
Gary,Forbes,,,
Jordan,Hamilton,,,
Julyan,Stone,,,
Quincy,Miller,,,
Erick,Green,,,
Joffrey,Lauvergne,,,
Anthony,Roberts,,,
Bo,Ellis,,,
Bob,Wilkerson,,,
Charlie,Scott,,,
Dan,Issel,,,
David,Thompson,,,
Gary,Garland,,,
George,McGinnis,,,
John,Roche,,,
Kim,Hughes,,,
Tom,Boswell,,,
George,Johnson,,,
Glen,Gondrezick,,,
Arvid,Kramer,,,
Carl,Nicks,,,
Cedrick,Hordges,,,
Kenny,Higgs,,,
Jamesearl,Ray,,,
Ron,Valentine,,,
Rob,Williams,,,
Dwight,Anderson,,,
Howard,Carter,,,
Willie,White,,,
Pete,Williams,,,
Mo,Martin,,,
Andre,Moore,,,
Wayne,Englestad,,,
Orlando,Woolridge,,,
Mahmoud,Abdul-Rauf,,,
Terry,Mills,,,
Anthony,Mason,,,
Tim,Legler,,,
Craig,Neal,,,
Daniel,Hamilton,G-F,,
Gerald,Green,G-F,6,7
Monte,Morris,G,6,3
Davon,Reed,G,6,5
Austin,Rivers,G,6,4
Matur,Maker,F,,
Josh,Gray,,,
Josh,Gray,,,
Vlatko,Cancar,F,,
Jeff,Green,F,6,9
Sani,Becirovic,G,,
Xue,Yuyang,F-C,,
Izzet,Turkyilmaz,F,,
Greg,Whittington,F,,
Eugene,German,G,,
Aaron,Gordon,F,6,9
Troy,Daniels,G,6,4
Markus,Howard,G,,
Caleb,Agada,G-F,,
Giorgi,Bezhanishvili,F,,
Chudier,Bile,F,,
Jason,Burnell,F,,
Steffon,Mitchell,F,,
Semaj,Christon,,,
Deonte,Burton,F,,
DeMarcus,Cousins,C,6,11
Tarik,Black,,,
Petr,Cornelie,F,,
Michael,Porter Jr.,F,6,10
Will,Barton,G,6,6
JaMychal,Green,F,6,9
Bryn,Forbes,G,6,3
Zeke,Nnaji,F-C,,
James,Ennis III,F,6,7
Nah'Shon,Hyland,G,,
Jamal,Murray,G,6,4
Rayjon,Tucker,F,,
Nikola,Jokic,C,7,0
Carlik,Jones,G,,
Facundo,Campazzo,,,
