first_name,last_name,position,height_feet,height_inches
Keenan,Evans,G,,
Zach,Lofton,G,,
John,Salley,,,
Joe,Dumars,,,
Bill,Laimbeer,,,
William,Bedford,,,
Dennis,Rodman,,,
Isiah,Thomas,,,
James,Edwards,,,
Lance,Blanks,,,
Vinnie,Johnson,,,
Scott,Hastings,,,
Charles,Thomas,,,
Brad,Sellers,,,
Bob,McCann,,,
Isaiah,Morris,,,
Melvin,Newbern,,,
Allan,Houston,,,
Lindsey,Hunter,,,
Ben,Coleman,,,
Grant,Hill,,,
Bill,Curley,,,
Ivano,Newbill,,,
Lou,Roe,,,
Theo,Ratliff,,,
Don,Reid,,,
Jerome,Williams,,,
Scot,Pollard,,,
Charles,O'Bannon,,,
Mikki,Moore,,,
Korleone,Young,,,
Jermaine,Jackson,,,
Mateen,Cleaves,,,
Brian,Cardinal,,,
Zeljko,Rebraca,,,
Rodney,White,,,
Ratko,Varda,,,
Tayshaun,Prince,,,
Mehmet,Okur,,,
Darko,Milicic,,,
Carlos,Delfino,,,
Horace,Jenkins,,,
Jason,Maxiell,,,
Alex,Acker,,,
Will,Blalock,,,
Arron,Afflalo,G,,
Cheikh,Samb,,,
Rodney,Stuckey,,,
Walter,Sharpe,,,
Austin,Daye,,,
DaJuan,Summers,,,
Vernon,Macklin,,,
Walker,Russell,,,
Kim,English,,,
Kyle,Singler,,,
Viacheslav,Kravtsov,,,
Peyton,Siva,,,
Tony,Mitchell,,,
Gigi,Datome,,,
Darrun,Hilliard,,,
Grant,Jerrett,,,
Michael,Gbinije,,,
Reggie,Hearn,,,
Bob,Lanier,,,
Bob,McAdoo,,,
Greg,Kelser,,,
Jim,McElroy,,,
John,Shumate,,,
Leon,Douglas,,,
Phil,Hubbard,,,
Roylee,Hamilton,,,
Terry,Duerod,,,
Terry,Tyler,,,
Earl,Evans,,,
Jackie,Robinson,,,
Keith,Herron,,,
Tony,Fuller,,,
Wayne,Robinson,,,
Norman,Black,,,
Ed,Lawrence,,,
Glenn,Hagan,,,
Walker,Russell,,,
Jim,Zoet,,,
Ken,Austin,,,
Dale,Wilkinson,,,
Cozell,McQueen,,,
Ralph,Lewis,,,
Ron,Moore,,,
Fennis,Dembo,,,
Jim,Rowinski,,,
Mark,Aguirre,,,
Tree,Rollins,,,
John,Long,,,
Gerald,Henderson,,,
Jon,Leuer,F,6,10
Kalin,Lucas,,6,1
Jose,Calderon,G,6,3
Zaza,Pachulia,C,6,11
Isaiah,Whitehead,,6,4
Todd,Withers,F,,
Derrick,Walton Jr.,,,
Jared,Cunningham,,,
Blake,Francis,G,,
Nikola,Radicevic,G,,
Jordan,McRae,G,6,5
John,Petty Jr.,G-F,,
Kelly,Olynyk,F,7,0
Cheick,Diallo,F,6,9
Balsa,Koprivica,,,
Jerami,Grant,F,6,9
Jaysean,Paige,G,,
Deividas,Sirvydis,G,,
Marvin,Bagley III,F,6,11
Rodney,McGruder,F-G,6,4
Justin,Robinson,G,,
Spencer,Littleson,G,,
Jamorko,Pickett,F,,
Anthony,Tarke,F,,
Killian,Hayes,G,,
Balsa,Koprivica,C,,
Hamidou,Diallo,G,6,5
Cassius,Stanley,G,,
Trayvon,Palmer,G,,
Cory,Joseph,G,6,3
Saddiq,Bey,F,,
Isaiah,Stewart,F-C,,
Frank,Jackson,G,6,3
Luka,Garza,C,,
Cade,Cunningham,G-F,,
Chris,Smith,F,,
Micah,Potter,F,,
Saben,Lee,G,,
Isaiah,Livers,F,,
Jamorko,Pickett,F,,
