first_name,last_name,position,height_feet,height_inches
Andrew,Bogut,F,,
Steve,Johnson,,,
Tom,Tolbert,,,
Sarunas,Marciulionis,,,
Rod,Higgins,,,
Tim,Hardaway,,,
Alton,Lister,,,
Mitch,Richmond,,,
Tyrone,Hill,,,
Kevin,Pritchard,,,
Chris,Gatling,,,
Victor,Alexander,,,
Billy,Owens,,,
Jaren,Jackson,,,
Byron,Houston,,,
Keith,Jennings,,,
Latrell,Sprewell,,,
Barry,Stevens,,,
Pat,Durham,,,
Josh,Grant,,,
Chris,Webber,,,
Dell,Demps,,,
Carlos,Rogers,,,
Clifford,Rozier,,,
Dwayne,Morton,,,
Ryan,Lorthridge,,,
Joe,Smith,,,
Andrew,DeClercq,,,
Robert,Churchwell,,,
Todd,Fuller,C,,
Ray,Owes,,,
Adonal,Foyle,,,
Brandon,Williams,,,
Antawn,Jamison,,,
Vonteego,Cummings,G,,
Tim,Young,,,
Marc,Jackson,,,
Chris,Porter,,,
Jason,Richardson,,,
Troy,Murphy,,,
Gilbert,Arenas,,,
Dean,Oliver,,,
Jiri,Welsch,,,
Mike,Dunleavy,,,
Guy,Rucker,,,
Mickael,Pietrus,,,
Andris,Biedrins,,,
Luis,Flores,,,
Chris,Taft,,,
Aaron,Miles,,,
Monta,Ellis,,,
Ike,Diogu,,,
Will,Bynum,,,
Patrick,O'Bryant,,,
Renaldo,Major,,,
Kelenna,Azubuike,,,
Stephane,Lasme,,,
Brandan,Wright,,,
Kosta,Perovic,,,
C.J.,Watson,,,
DeMarcus,Nelson,G,,
Anthony,Randolph,,,
Rob,Kurz,,,
Anthony,Morrow,,,
Reggie,Williams,,,
Jeff,Adrien,,,
Charles,Jenkins,,,
Jeremy,Tyler,,,
Chris,Wright,,,
Keith,Benson,,,
Festus,Ezeli,,,
Ognjen,Kuzmic,,,
Nemanja,Nedovic,,,
James,Michael McAdoo,,,
Clifford,Ray,,,
John,Coughran,,,
John,Lucas,,,
Jojo,White,,,
Purvis,Short,,,
Raymond,Townsend,,,
Sonny,Parker,,,
Thomas,Wilson,,,
Tom,Abernethy,,,
Darnell,Hillman,,,
Phil,Smith,,,
Lynbert,Johnson,,,
Billy,Reid,,,
Lorenzo,Romar,,,
Rickey,Brown,,,
Bill,Mayfield,,,
Hank,McDowell,,,
Samuel,Williams,,,
Lewis,Lloyd,,,
Chris,Engler,,,
Pace,Mannion,,,
Russell,Cross,,,
Chuck,Aleksinas,,,
Othell,Wilson,,,
Peter,Thibeaux,,,
Ron,Crevier,,,
Chris,Washburn,,,
Kevin,Henderson,,,
Mark,Wade,,,
Orlando,Graham,,,
Leonard,Taylor,,,
Chris,Mullin,,,
Les,Jepsen,,,
Mike,Smrek,,,
Jim,Petersen,,,
Bart,Kofoed,,,
Paul,Mokeski,,,
Vincent,Askew,,,
Shaun,Livingston,G,6,7
Jonas,Jerebko,F,6,10
Jeremy,Pargo,,,
Andrew,Harrison,G,,
Devyn,Marble,,,
Dragan,Bender,F,7,1
Nick,Mayo,F,,
Derrick,Alston,F,,
Mladen,Sekularac,G,,
Travis,Munnings,F,,
Tim,Williams,F,,
Sedrick,Barefield,G,,
Scottie,Lindsey,G,,
Ryan,Taylor,G,,
Kendall,Smith,G,,
Kahlil,Whitney,F,,
Elijah,Pemberton,G,,
Isaiah,Brown,F,,
Selom,Mawugbe,C,,
Lior,Eliyahu,F,,
Stephen,Curry,G,6,3
Nico,Mannion,G,,
Klay,Thompson,G,6,7
Colbey,Ross,G,,
Ky,Bowman,G,,
Jonathan,Kuminga,F,,
Kevon,Looney,F,6,9
Gary,Payton II,,,
Justinian,Jessup,G,,
Alen,Smailagic,F,,
James,Wiseman,C,,
Damion,Lee,G,6,6
Jordan,Poole,G,,
Nemanja,Bjelica,F,6,10
Chris,Chiozza,G,,
Juan,Toscano-Anderson,F,,
Draymond,Green,F,6,7
Moses,Moody,G,,
Andre,Iguodala,G-F,6,6
Quinndary,Weatherspoon,G,,
Otto,Porter Jr.,F,6,8
Andrew,Wiggins,F-G,6,8
