first_name,last_name,position,height_feet,height_inches
Zhou,Qi,F-C,,
Kenny,Smith,,,
Adrian,Caldwell,,,
Vernon,Maxwell,,,
Hakeem,Olajuwon,,,
Dave,Jamerson,,,
Larry,Smith,,,
Otis,Thorpe,,,
Dave,Feitl,,,
Sleepy,Floyd,,,
David,Wood,,,
Matt,Bullard,,,
John,Turner,,,
Carl,Herrera,,,
Robert,Horry,,,
Eric,Riley,,,
Sam,Cassell,,,
Richard,Petruska,,,
Chris,Jent,,,
Tim,Breaux,,,
Zan,Tabak,,,
Alvin,Heggs,,,
Melvin,Booker,,,
Matt,Maloney,G,,
Othella,Harrington,,,
Randy,Livingston,,,
Emanual,Davis,,,
Joe,Stephens,,,
Rodrick,Rhodes,,,
Michael,Dickerson,G,,
Bryce,Drew,,,
John,Coker,,,
Cuttino,Mobley,,,
Steve,Francis,G,,
Kenny,Thomas,,,
Jason,Collier,,,
Dan,Langhi,,,
Eddie,Griffin,,,
Oscar,Torres,,,
Tierre,Brown,,,
Terence,Morris,,,
Juaquin,Hawkins,,,
Yao,Ming,,,
Bostjan,Nachbar,,,
Tito,Maddox,,,
Torraye,Braggs,,,
Andre,Barrett,,,
Brandin,Knight,,,
Luther,Head,,,
Stephen,Graham,,,
John,Lucas III,,,
Chuck,Hayes,,,
Steve,Novak,,,
Vassilis,Spanoulis,,,
Luis,Scola,,,
Aaron,Brooks,,,
Carl,Landry,,,
Mike,Harris,,,
Joey,Dorsey,,,
David,Andersen,,,
Chase,Budinger,,,
Jermaine,Taylor,,,
Marqus,Blakely,,,
Greg,Smith,,,
Diamon,Simpson,,,
Terrence,Jones,,,
Royce,White,,,
Scott,Machado,,,
Tim,Ohlbrecht,,,
Kostas,Papanikolaou,,,
Nick,Johnson,,,
Kyle,Wiltjer,,,
Chinanu,Onuaku,,,
Aaron,Jackson,,,
Calvin,Murphy,,,
Dwight,Jones,,,
Major,Jones,,,
Mike,Dunleavy,,,
Rick,Barry,,,
Rudy,Tomjanovich,,,
Rudy,White,,,
Tom,Henderson,,,
Alonzo,Bradley,,,
Allen,Leavell,,,
Calvin,Garrett,,,
Lee,Johnson,,,
John,Stroud,,,
Larry,Spriggs,,,
Jeff,Taylor,,,
Steve,Harris,,,
Conner,Henry,,,
Mike,Woodson,,,
Kennard,Winchester,,,
Buck,Johnson,,,
Wade,Baldwin IV,G,6,4
Trevon,Duval,G,6,2
Vincent,Edwards,F,6,8
Anthony,Bennett,,,
Jaron,Blossomgame,,6,8
Ryan,Anderson,F,6,10
Luc,Mbah a Moute,F,6,8
Venson,Hamilton,C-F,,
William,Howard,G-F,,
Dante,Exum,G,6,6
Trey,Phills,G,,
DeMarre,Carroll,F,6,8
Tyson,Chandler,C,7,1
Bruno,Caboclo,,6,9
Sergei,Lishouk,F,,
Matt,Hurt,F,,
Cameron,Reynolds,G,,
Dennis,Schroder,G,6,1
Eric,Gordon,G,6,4
Jalen,Green,G,,
Daishen,Nix,F,,
Kenyon,Martin Jr.,F,,
Christian,Wood,F,6,10
Tyler,Bey,F,,
David,Nwaba,G,6,4
Thabo,Sefolosha,F,6,7
Ray,Spalding,F,,
Khyri,Thomas,G,6,3
Garrison,Mathews,G,,
Marcus,Foster,G,,
Jalen,Tate,G,,
Bruno,Fernando,F,,
Enes,Kanter,C,,
DeJon,Jarreau,G,,
Jae'Sean,Tate,F,,
Kevin,Porter Jr.,G,,
John,Wall,G,6,4
Trevelin,Queen,G,,
Alperen,Sengun,F-C,,
Usman,Garuba,F,,
Josh,Christopher,G,,
