first_name,last_name,position,height_feet,height_inches
Ike,Anigbogu,C,,
Sean,Green,,,
Dale,Davis,,,
Malik,Sealy,,,
Antonio,Davis,,,
Scott,Haskin,,,
Mark,Strickland,,,
Travis,Best,,,
Fred,Hoiberg,,,
Brent,Scott,,,
Erick,Dampier,,,
Etdrick,Bohannon,,,
Mark,Pope,,,
Austin,Croshere,,,
Kelly,McCarty,,,
Al,Harrington,,,
Jeff,Foster,,,
Jonathan,Bender,,,
Jamaal,Tinsley,G,,
Primoz,Brezec,,,
Jamison,Brewer,,,
Norman,Richardson,,,
Fred,Jones,,,
James,Jones,,,
David,Harrison,,,
John,Edwards,,,
Sarunas,Jasikevicius,,,
Danny,Granger,,,
Shawne,Williams,,,
Courtney,Sims,,,
Brandon,Rush,,,
Roy,Hibbert,,,
AJ,Price,,,
Tyler,Hansbrough,,,
Ben,Hansbrough,,,
Orlando,Johnson,,,
Damjan,Rudez,,,
Shayne,Whittington,,,
Rakeem,Christmas,,,
Trey,McKinney-Jones,,,
Billy,Knight,,,
Clemon,Johnson,,,
Dudley,Bradley,,,
Johnny,Davis,,,
Mickey,Johnson,,,
Mike,Bantom,,,
Tony,Zeno,,,
Corky,Calhoun,,,
Joey,Hassett,,,
John,Kuester,,,
Ron,Carter,,,
Jerry,Sichting,,,
Louis,Orr,,,
Kenny,Natt,,,
Dick,Miller,,,
Clark,Kellogg,,,
Guy,Morgan,,,
Jose,Slaughter,,,
Granville,Waiters,,,
Leroy,Combs,,,
Sidney,Lowe,,,
Steve,Stipanovich,,,
Devin,Durrant,,,
Terence,Stansbury,,,
Ralph,Jackson,,,
Kent,Edelin,,,
Bill,Martin,,,
Dwayne,McClain,,,
Clinton,Wheeler,,,
Brian,Rowsom,,,
Richard,Morton,,,
Dyron,Nix,,,
Chuck,Person,,,
Detlef,Schrempf,,,
George,McCloud,,,
Greg,Dreiling,,,
Kenny,Williams,,,
LaSalle,Thompson,,,
Micheal,Williams,,,
Mike,Sanders,,,
Randy,Wittman,,,
Reggie,Miller,,,
Rik,Smits,,,
Vern,Fleming,,,
Jawann,Oldham,,,
Tyreke,Evans,G,6,6
JaKeenan,Gant,F,,
Devin,Robinson,F,6,8
CJ,Wilcox,,,
Naz,Mitrou-Long,G,6,4
Andrew,Betts,C,,
Maarty,Leunen,F,,
Terry,Henderson,G,,
Amida,Brimah,C,,
Reggie,Perry,F-C,,
Buddy,Hield,G,6,4
Ricky,Rubio,G,6,4
T.J.,Warren,F,6,8
Ahmad,Caver,G,,
Justin,Anderson,G-F,6,6
Jordan,Bone,G,,
Myles,Turner,C-F,6,11
JaKarr,Sampson,,,
Edmond,Sumner,G,6,6
Tyrese,Haliburton,G,,
Bennie,Boatwright,F,,
Goga,Bitadze,C,,
Oshae,Brissett,F,,
Lance,Stephenson,G,6,6
Nate,Hinton,G-F,,
Keifer,Sykes,G,,
Jalen,Smith,F-C,,
Chris,Duarte,G,,
Isaiah,Jackson,F,,
Malcolm,Brogdon,G,6,5
Duane,Washington Jr.,G,,
Terry,Taylor,G,,
T.J.,McConnell,G,6,2
