first_name,last_name,position,height_feet,height_inches
Marcin,Gortat,C,,
Milos,Teodosic,G,,
Elliot,Perry,,,
Lanard,Copeland,,,
LeRon,Ellis,,,
David,Rivers,,,
Elmore,Spencer,,,
Randy,Woods,,,
Duane,Washington,,,
Terry,Dehere,,,
Bob,Martin,,,
Harold,Ellis,,,
Bo,Outlaw,,,
Eric,Piatkowski,,,
Lamond,Murray,,,
Matt,Fish,,,
Brent,Barry,,,
Log,Vander Velden,,,
Loy,Vaught,F,,
Lorenzen,Wright,,,
Maurice,Taylor,,,
Keith,Closs,,,
James,Collins,,,
Michael,Olowokandi,,,
Tyrone,Nesby,,,
Brian,Skinner,,,
Lamar,Odom,F,,
Darius,Miles,G,,
Keyon,Dooling,,,
Quentin,Richardson,,,
Zendon,Hamilton,,,
Tremaine,Fowlkes,,,
Chris,Wilcox,,,
Marko,Jaric,,,
Melvin,Ely,,,
Chris,Kaman,,,
Matt,Barnes,,,
Lionel,Chalmers,,,
Quinton,Ross,,,
Maurice,Baker,,,
Daniel,Ewing,,,
James,Singleton,,,
Yaroslav,Korolev,,,
Boniface,Ndong,,,
Paul,Davis,,,
Al,Thornton,,,
Guillermo,Diaz,,,
Mike,Taylor,,,
Willie,Warren,,,
Travis,Leslie,,,
Trey,Thompkins,,,
Courtney,Fortson,,,
Branden,Dawson,,,
Alex,Stepheson,,,
Diamond,Stone,,,
Brice,Johnson,,,
Jamil,Wilson,,,
Brian,Taylor,,,
Freeman,Williams,,,
Jerome,Whitehead,,,
Joe,Bryant,,,
Nick,Weatherspoon,,,
Sidney,Wicks,,,
Swen,Nater,,,
World,Free,,,
Stan,Pietkiewicz,,,
Bob,Carrington,,,
John,Olive,,,
Bill,Walton,,,
Marvin,Barnes,,,
Michael,Brooks,,,
Wally,Rank,,,
Tony,Price,,,
Ron,Davis,,,
Jim,Smith,,,
John,Douglas,,,
Jim,Brogan,,,
Rock,Lee,,,
Richard,Anderson,,,
Willie,Jones,,,
Lancaster,Gordon,,,
Jay,Murphy,,,
Jeff,Cross,,,
Dwayne,Polee,,,
Steffond,Johnson,,,
Martin,Nessley,,,
Norris,Coleman,,,
Eric,White,,,
Robert,Lock,,,
Robert,Rose,,,
Barry,Sumpter,,,
Torgeir,Bryn,,,
Jay,Edwards,,,
Bo,Kimble,,,
Charles,Smith,,,
Gary,Grant,,,
Jeff,Martin,,,
Ken,Bannister,,,
Ken,Norman,,,
Loy,Vaught,,,
Tom,Garrick,,,
Winston,Garland,,,
Greg,Butler,,,
Danny,Manning,,,
Benoit,Benjamin,,,
Cedric,Ball,,,
Ron,Harper,,,
Angel,Delgado,C,6,10
Donte,Grantham,,6,8
Terry,Larrier,F,,
James,Palmer Jr.,G,,
Isaiah,Hicks,F,6,9
David,Michineau,G,,
Yogi,Ferrell,G,6,0
Jason,Preston,G,,
Kaleb,Wesson,F,,
Kerwin,Roach,G,,
Jordan,Ford,G,,
Vladimir,Veremeenko,F,,
Johnathan,Motley,F,6,10
Nicolas,Batum,F-G,6,8
Paul,George,F,6,9
Harry,Giles III,F-C,6,10
Joakim,Noah,,6,11
Rodney,Hood,G,6,8
Xavier,Moon,G,,
Norman,Powell,F-G,6,4
Robert,Covington,F,6,9
Ivica,Zubac,C,7,1
Lydell,Elmore,F,,
Jay,Scrubb,G,,
Marcus,Morris,F,6,9
Kawhi,Leonard,F,6,7
Reggie,Jackson,G,6,3
Luke,Kennard,G,6,5
Isaiah,Hartenstein,F-C,7,0
Amir,Coffey,G,,
Terance,Mann,G,,
Semi,Ojeleye,F,6,7
Brandon,Boston Jr.,G,,
