first_name,last_name,position,height_feet,height_inches
Demetrius,Calip,,,
Keith,Owens,,,
Cliff,T. Robinson,,,
Anthony,Peeler,,,
Duane,Cooper,,,
Alex,Blackwell,,,
Doug,Christie,,,
Antonio,Harvey,,,
Nick,Van Exel,,,
George,Lynch,,,
Reggie,Jordan,,,
Anthony,Miller,,,
Eddie,Jones,,,
Frankie,King,,,
Derek,Fisher,,,
Travis,Knight,,,
Kobe,Bryant,,,
Shea,Seals,,,
Ruben,Patterson,,,
Sam,Jacobson,,,
Tyronn,Lue,,,
Devean,George,,,
John,Celestand,,,
Mark,Madsen,,,
Mike,Penberthy,,,
Slava,Medvedenko,,,
Joe,Crispin,,,
Jannero,Pargo,,,
Kareem,Rush,,,
Luke,Walton,,,
Brian,Cook,,,
Ime,Udoka,,,
Maurice,Carter,,,
Sasha,Vujacic,,,
Tony,Bobbitt,,,
Andrew,Bynum,,,
Devin,Green,,,
Von,Wafer,,,
Ronny,Turiaf,,,
Jordan,Farmar,,,
Coby,Karl,,,
Javaris,Crittenton,,,
Sun,Sun,,,
Derrick,Caracter,,,
Devin,Ebanks,,,
Andrew,Goudelock,,,
Darius,Morris,,,
Robert,Sacre,,,
Darius,Johnson-Odom,,,
Ryan,Kelly,,,
Elias,Harris,,,
Jabari,Brown,,,
Marcelo,Huertas,,,
Anthony,Brown,,,
Nigel,Hayes,,,
Andre,Ingram,,,
Don,Ford,,,
Jamaal,Wilkes,,,
Jim,Chones,,,
Kareem,Abdul-Jabbar,,,
Michael,Cooper,,,
Norm,Nixon,,,
Ron,Boone,,,
Spencer,Haywood,,,
Brad,Holland,,,
Marty,Byrnes,,,
Ollie,Mack,,,
Alan,Hardy,,,
Butch,Carter,,,
Tony,Jackson,,,
Myles,Patrick,,,
Kevin,McKenna,,,
Mike,McGee,,,
Clay,Johnson,,,
Earl,Jones,,,
Jerome,Henderson,,,
Adrian,Branch,,,
Steve,Bucknall,,,
Mel,McCants,,,
A.C.,Green,,,
Byron,Scott,,,
Elden,Campbell,,,
James,Worthy,,,
Larry,Drew,,,
Magic,Johnson,,,
Mychal,Thompson,,,
Sam,Perkins,,,
Terry,Teagle,,,
Vlade,Divac,,,
Tony,Brown,,,
Tony,Smith,,,
Irving,Thomas,,,
Darren,Collison,G,6,0
Demetrius,Jackson,G,,
David,Stockton,,,
Brad,Newley,G,,
Chinemelu,Elonu,F,,
Jordan,Floyd,G,,
Alan,Griffin,F,,
Yoeli,Childs,F,,
Tres,Tinkle,F,,
Romaro,Gill,C,,
Zavier,Simpson,G,,
Marc,Gasol,C,7,1
Trevor,Ariza,F,6,8
Russell,Westbrook,G,6,3
Avery,Bradley,G,6,2
Jared,Dudley,F,6,7
Wayne,Ellington,G,,
Mason,Jones,G,,
Vic,Law,F,,
JR,Smith,G-F,6,6
Kostas,Antetokounmpo,F,6,10
Dion,Waiters,G,6,4
Tyler,Hagedorn,F,,
Jemerrio,Jones,F,,
Wenyen,Gabriel,F,6,9
Kendrick,Nunn,G,,
Anthony,Davis,F-C,6,10
D.J.,Augustin,G,6,0
Talen,Horton-Tucker,G,,
Kent,Bazemore,G,6,5
Stanley,Johnson,F,6,7
Sekou,Doumbouya,F,,
LeBron,James,F,6,8
Carmelo,Anthony,F,,
Dwight,Howard,C,6,11
Malik,Monk,G,6,3
Austin,Reaves,G,,
Jay,Huff,F-C,,
