first_name,last_name,position,height_feet,height_inches
MarShon,Brooks,G,,
Omri,Casspi,F,,
DJ,Stephens,G-F,,
Bryant,Reeves,,,
Lawrence,Moten,,,
Ashraf,Amaya,,,
Richard,Manning,,,
Cuonzo,Martin,,,
Shareef,Abdur-Rahim,F,,
Roy,Rogers,,,
Chris,Robinson,,,
Moochie,Norris,,,
Antonio,Daniels,G,,
Mike,Bibby,G,,
Felipe,Lopez,,,
J.R.,Henderson,,,
Obinna,Ekezie,,,
Milt,Palacio,,,
Stromile,Swift,,,
Shane,Battier,F,,
Will,Solomon,,,
Antonis,Fotsis,,,
Ike,Fontaine,,,
Drew,Gooden,F,,
Gordan,Giricek,,,
Mike,Batiste,,,
Robert,Archibald,,,
Cezary,Trybanski,,,
Chris,Owens,,,
Troy,Bell,,,
Theron,Smith,,,
Dahntay,Jones,,,
Antonio,Burks,,,
Andre,Emmett,,,
Lawrence,Roberts,,,
Hakim,Warrick,,,
Anthony,Roberson,,,
Alexander,Johnson,,,
Tarence,Kinsey,,,
Will,Conroy,,,
Juan,Carlos Navarro,,,
O.J.,Mayo,G,,
Darrell,Arthur,,,
Hamed,Haddadi,,,
Hasheem,Thabeet,,,
Sam,Young,,,
Trey,Gilder,,,
Xavier,Henry,,,
Greivis,Vasquez,,,
Josh,Selby,,,
Tony,Wroten,,,
Chris,Johnson,,,
Nick,Calathes,,,
Jamaal,Franklin,,,
Jordan,Adams,,,
Jarnell,Stokes,,,
Briante,Weber,G,,
Xavier,Munford,,,
Vincent,Hunter,,,
Xavier,Rathan-Mayes,,,
Omari,Johnson,,,
Tyler,Dorsey,G,6,5
Julian,Washburn,,6,8
Dusty,Hannahs,G,,
Miles,Plumlee,C,6,11
Shaq,Buchanan,G,,
DaQuan,Jeffries,F,,
Ben,Moore,,6,8
Tyler,Harvey,G,,
Satnam,Singh,C,,
Wang,Zhelin,,,
Marko,Guduric,G,,
Anthony,Cowan Jr.,G,,
Romeo,Weems,F,,
Darnell,Cowart,F,,
Kyle,Anderson,F,6,9
Xavier,Tillman,F,,
Desmond,Bane,G,,
Jontay,Porter,C-F,,
Olivier,Sarr,C,,
Keaton,Wallace,G,,
John,Konchar,G-F,,
Sam,Merrill,G,,
Sean,McDermott,F,,
Jon,Teske,C,,
Jaren,Jackson Jr.,F-C,6,11
De'Anthony,Melton,G,6,4
Tyrell,Terry,G,,
Steven,Adams,C,7,0
Ja,Morant,G,,
Jarrett,Culver,G,,
Brandon,Clarke,F,,
Shaquille,Harrison,G,6,4
Dillon,Brooks,G-F,6,6
Dakota,Mathias,G,,
Killian,Tillie,F-C,,
Yves,Pons,G-F,,
Santi,Aldama,F,,
Tyus,Jones,G,6,2
Ziaire,Williams,G-F,,
