first_name,last_name,position,height_feet,height_inches
Glen,Rice,,,
Billy,Thompson,,,
Grant,Long,,,
Willie,Burton,,,
Jon,Sundvold,,,
Bimbo,Coles,,,
Sherman,Douglas,,,
Kevin,Edwards,,,
Alec,Kessler,,,
Terry,Davis,,,
Milt,Wagner,,,
Alan,Ogg,,,
Steven,Smith,,,
Harold,Miner,,,
Matt,Geiger,,,
Gary,Alexander,,,
Khalid,Reeves,,,
Kurt,Thomas,,,
Sasha,Danilovic,,,
Terrence,Rencher,,,
Voshon,Lenard,,,
Ike,Austin,,,
James,Scott,,,
Martin,Muursepp,,,
Tony,Farmer,,,
Bruce,Bowen,,,
Charles,Smith,,,
Anthony,Carter,,,
Rodney,Buford,,,
Harold,Jamison,,,
Tim,James,,,
Jamal,Robinson,,,
Eddie,House,,,
Tang,Hamilton,,,
Ernest,Brown,,,
Malik,Allen,,,
Mike,James,,,
Caron,Butler,F,,
Rasual,Butler,,,
Ken,Johnson,,,
Sean,Lampley,,,
Jerome,Beasley,,,
Kirk,Penney,,,
Dorell,Wright,,,
Earl,Barron,,,
Wayne,Simien,,,
Matt,Walsh,,,
Gerald,Fitch,,,
Chris,Quinn,,,
Robert,Hite,,,
Daequan,Cook,,,
Joel,Anthony,,,
Blake,Ahearn,,,
Kasib,Powell,,,
Kenny,Hasbrouck,,,
Dexter,Pittman,,,
Norris,Cole,,,
Terrel,Harris,,,
Mickell,Gladness,,,
Andre,Dawkins,,,
Okaro,White,,,
Marcus,Georges-Hunt,,,
Matt,Williams Jr.,,,
Anthony,Taylor,,,
Sylvester,Gray,,,
Todd,Mitchell,,,
Rony,Seikaly,,,
Keith,Askins,,,
Dwyane,Wade,G,6,4
Daryl,Macon,G,6,3
Roberto,Duenas,C,,
George,Banks,F,,
Dru,Smith,G,,
Tyson,Carter,G,,
Micah,Potter,F-C,,
Dru,Smith,G,,
Kyle,Lowry,G,6,1
PJ,Tucker,F,6,6
Justin,Smith,F,,
Dewayne,Dedmon,C,7,0
Omer,Yurtseven,C,,
Brandon,McCoy,,,
Duncan,Robinson,F,6,8
Caleb,Martin,F,,
Markieff,Morris,F,,
Jimmy,Butler,G-F,6,8
Mario,Chalmers,G,,
Bam,Adebayo,C-F,6,10
Gabe,Vincent,G,,
Max,Strus,G,,
Haywood,Highsmith,,6,7
Victor,Oladipo,G,6,4
Udonis,Haslem,F,6,8
Javonte,Smart,G,,
Chris,Silva,F,,
Tyler,Herro,G,,
Aric,Holman,C,,
Kyle,Guy,G,,
Marcus,Garrett,G,,
