first_name,last_name,position,height_feet,height_inches
Dan,Schayes,,,
Jay,Humphries,,,
Ricky,Pierce,,,
Greg,Anderson,,,
Georgios,Kalaitzakis,F,,
Brad,Lohaus,,,
Frank,Brickowski,,,
Jeff,Grayer,,,
Jack,Sikma,,,
Alvin,Robertson,,,
Steve,Henson,,,
Larry,Krystkowiak,,,
Anthony,Avent,,,
Lee,Mayberry,,,
Todd,Day,,,
Anthony,Pullard,,,
Jon,Barry,,,
Vin,Baker,,,
Eric,Mobley,,,
Glenn,Robinson,,,
Shawn,Respert,,,
Ray,Allen,G,,
Jimmy,Carruth,,,
Jerald,Honeycutt,,,
Jeff,Nordgaard,,,
Robert,Traylor,,,
Rafer,Alston,,,
Maceo,Baston,,,
Joel,Przybilla,,,
Michael,Redd,,,
Jason,Hart,,,
Dan,Gadzuric,C,,
Marcus,Haislip,,,
Flip,Murray,,,
Jamal,Sampson,,,
T.J.,Ford,,,
Damir,Markota,,,
David,Noel,,,
Chris,McCray,,,
Lynn,Greer,,,
Yi,Jianlian,F,,
Ramon,Sessions,,,
Joe,Alexander,,,
Brandon,Jennings,G,,
Larry,Sanders,,,
Darington,Hobson,,,
Doron,Lamb,,,
Nate,Wolters,,,
Miroslav,Raduljica,,,
Tony,Mitchell,,,
Damien,Inglis,,,
Rashad,Vaughn,,,
Johnny,O'Bryant III,,,
Brian,Winters,,,
Dave,Meyers,,,
Harvey,Catchings,,,
Junior,Bridgeman,,,
Kent,Benson,,,
Lloyd,Walton,,,
Marques,Johnson,,,
Quinn,Buckner,,,
Richard,Washington,,,
Kevin,Stacom,,,
Kenny,Fields,,,
Derrick,Rowland,,,
Keith,Smith,,,
John,Stroeder,,,
Rickie,Winslow,,,
Mark,Davis,,,
Fred,Roberts,,,
Frank,Kornet,,,
Everette,Stephens,,,
Adrian,Dantley,,,
Bonzie,Colson,F,6,6
Nikola,Mirotic,F,6,10
Tyree,White,F,,
Luke,Maye,F,,
Axel,Toupane,,,
Ilkan,Karaman,F,,
Langston,Galloway,G,6,2
Jeff,Dowtin,G,,
Brandon,Randolph,G-F,,
Andrei,Fetisov,F,,
Aurelijius,Zukauskas,C,,
Paul,Eboua,F,,
Jalen,Crutcher,G,,
Serge,Ibaka,F-C,6,10
George,Hill,G,6,3
E.J.,Montgomery,F,,
DMitrik,Trice,G,,
Elijah,Bryant,G,,
Kyle,Korver,G-F,6,7
Rodions,Kurucs,F,6,9
Bobby,Portis,F,6,11
Pat,Connaughton,G,6,4
Grayson,Allen,G,6,5
Jeff,Teague,G,6,2
Thanasis,Antetokounmpo,,,
Marvin,Williams,F,6,9
Jrue,Holiday,G,6,4
Wesley,Matthews,G-F,,
Giorgos,Kalaitzakis,,,
Steven,Enoch,F,,
John,Mooney,F,,
Mike,Smith,G,,
Javin,DeLaurier,F,,
Jevon,Carter,G,6,2
Jordan,Nwora,F,,
Brook,Lopez,C,7,0
Lindell,Wigginton,G,,
Khris,Middleton,F,6,8
Giannis,Antetokounmpo,F,6,11
Greg,Monroe,C,,
DeAndre',Bembry,F,6,6
Sandro,Mamukelashvili,F,,
