first_name,last_name,position,height_feet,height_inches
Randy,Breuer,,,
Doug,West,,,
Tony,Campbell,,,
Richard,Coffey,,,
Scott,Brooks,,,
Pooh,Richardson,,,
Gerald,Glass,,,
Tod,Murphy,,,
Felton,Spencer,,,
Tyrone,Corbin,,,
Sam,Mitchell,,,
Tellis,Frank,,,
Myron,Brown,,,
Luc,Longley,,,
Chris,Smith,,,
Christian,Laettner,,,
Gundars,Vetra,,,
Marlon,Maxey,,,
Brian,Davis,,,
Isaiah,Rider,,,
Stanley,Jackson,,,
Andres,Guibert,,,
Askia,Jones,,,
Donyell,Marshall,,,
Howard,Eisley,,,
Darrick,Martin,,,
Jerome,Allen,,,
Kevin,Garnett,,,
Mark,Davis,,,
Marques,Bragg,,,
Stephon,Marbury,G,,
Shane,Heal,,,
Dean,Garrett,,,
DeJuan,Wheat,,,
Paul,Grant,,,
Andrae,Patterson,,,
Trevor,Winter,,,
Rasho,Nesterovic,,,
Wally,Szczerbiak,F,,
William,Avery,,,
Loren,Woods,,,
Maurice,Evans,,,
Igor,Rakocevic,,,
Keith,McLeod,,,
Ndudi,Ebi,,,
Rashad,McCants,,,
Bracey,Wright,,,
Randy,Foye,,,
Craig,Smith,,,
Chris,Richard,,,
Jonny,Flynn,G,,
Nikola,Pekovic,,,
Lazar,Hayward,,,
Derrick,Williams,,,
Malcolm,Lee,,,
Alexey,Shved,,,
Robbie,Hummel,,,
Shabazz,Muhammad,,,
Sean,Kilpatrick,,,
Jim,Thomas,,,
Bob,Thornton,,,
Dan,Godfread,,,
Jared,Terrell,G,6,3
Isaiah,Canaan,G,6,0
Luol,Deng,F,6,9
Jerryd,Bayless,G,6,3
Allen,Crabbe,G-F,6,6
Jordan,Murphy,F,,
John,Egbunu,C,,
Matt,Lewis,G,,
Henk,Norel,F,,
London,Perrantes,,,
Cullen,Russo,F,,
Paulao,Prestes,C,,
Jacob,Evans,G,6,6
Evan,Turner,G-F,6,7
Jared,Brownridge,G,,
Kerry,Blackshear Jr.,C,,
Malcolm,Miller,,,
Isaiah,Miller,G,,
JJ,Culver,G,,
Brian,Bowen II,F,,
Malik,Beasley,G,6,5
Nathan,Knight,F-C,,
Patrick,Beverley,G,6,1
Karl-Anthony,Towns,C,7,0
Karim,Mane,G,,
Jake,Layman,F,6,9
Kenny,Wooten,F,,
Anthony,Edwards,G,,
D'Angelo,Russell,G,6,5
Marcus,Derrickson,F,6,7
Leandro,Bolmaro,F,,
Naz,Reid,F-C,,
Josh,Okogie,G,6,4
Jarred,Vanderbilt,F,6,9
Jordan,McLaughlin,G,,
Jaylen,Nowell,G,,
Jaden,McDaniels,F,,
Taurean,Prince,F,6,8
McKinley,Wright IV,G,,
