first_name,last_name,position,height_feet,height_inches
David,West,,,
Tim,Pickett,,,
Matt,Freije,,,
Corsley,Edwards,,,
Brandon,Bass,,,
Arvydas,Macijauskas,,,
Sean,Banks,,,
Cedric,Simmons,,,
Hilton,Armstrong,,,
Marcus,Vinicius,,,
Julian,Wright,,,
Adam,Haluska,,,
Marcus,Thornton,,,
Jerel,McNeal,,,
Patrick,Ewing,,,
Carldell,Johnson,,,
Gustavo,Ayon,,,
Jeff,Foote,,,
Jerome,Dyson,,,
Brian,Roberts,,,
Henry,Sims,,,
Arinze,Onuaku,,,
Jeff,Withey,,,
Russ,Smith,,,
Patric,Young,,,
Bryce,Dejean-Jones,,,
Charles,Cooke,,,
Jalen,Jones,,,
Jason,Smith,F-C,7,0
Ian,Clark,G,6,3
Dairis,Bertans,G,,
Javon,Bess,G,,
Kavell,Bigby-Williams,C,,
Nicolo,Melli,F,,
Anzejs,Pasecniks,C,,
Tyrone,Wallace,G,6,5
Latavious,Williams,F,,
Trey,Murphy,,,
James,Nunnally,F,,
Daulton,Hommes,F,,
Garrett,Temple,G-F,6,6
Jonas,Valanciunas,C,7,0
CJ,McCollum,G,6,3
Miye,Oni,G,,
Zylan,Cheatham,F,,
Justin,James,G-F,,
Naji,Marshall,F,,
Brandon,Ingram,F,6,9
Will,Magnay,C,,
Anthony,Tolliver,F,6,8
David,DiLeo,F,,
Malcolm,Hill,G,,
Devonte',Graham,G,6,2
Alize,Johnson,F,6,9
Jared,Harper,G,,
Gary,Clark,F,6,8
Willy,Hernangomez,C,6,11
Larry,Nance Jr.,F,6,9
Kira,Lewis Jr.,G,,
Tony,Snell,G,6,7
Zion,Williamson,F,,
Jaxson,Hayes,C,,
Feron,Hunt,F,,
Jose,Alvarado,G,,
Herbert,Jones,F,,
Trey,Murphy III,F,,
