first_name,last_name,position,height_feet,height_inches
Ron,Baker,G,,
Greg,Anthony,,,
Carlton,McKinney,,,
Patrick,Eddie,,,
Hubert,Davis,,,
Eric,Anderson,,,
Monty,Williams,,,
Charlie,Ward,,,
John,Wallace,,,
Walter,McCarty,,,
Dontae',Jones,,,
Mirsad,Turkcan,,,
DeMarco,Johnson,,,
Lavor,Postell,,,
Frank,Williams,,,
Michael,Sweetney,,,
Jackie,Butler,,,
Nate,Robinson,,,
David,Lee,,,
Renaldo,Balkman,,,
Mardy,Collins,,,
Randolph,Morris,,,
Joe,Crawford,,,
Chris,Hunter,,,
Toney,Douglas,,,
Jordan,Hill,,,
Marcus,Landry,,,
Landry,Fields,G,,
Andy,Rautins,,,
Josh,Harrellson,,,
Jerome,Jordan,,,
Pablo,Prigioni,,,
Chris,Copeland,,,
Toure',Murry,,,
Chris,Smith,,,
Cleanthony,Early,,,
Travis,Wear,,,
Mindaugas,Kuzminskas,,,
Maurice,Ndour,,,
Marshall,Plumlee,,,
Geoff,Huston,,,
Hollis,Copeland,,,
Jim,Cleamons,,,
Joe,Meriweather,,,
Larry,Demic,,,
Micheal,Ray Richardson,,,
Mike,Glenn,,,
Ray,Williams,,,
Sly,Williams,,,
Toby,Knight,,,
Earl,Monroe,,,
Marvin,Webster,,,
Reggie,Carter,,,
Dewayne,Scales,,,
Alex,Bradley,,,
Vince,Taylor,,,
Michael,Davis,,,
Ron,Cavenall,,,
Fred,Cofield,,,
Chris,McNealy,,,
Ken,Green,,,
Mckinley,Singleton,,,
Brad,Wright,,,
Billy,Donovan,,,
Brian,Quinnett,,,
Charles,Oakley,,,
Eddielee,Wilkins,,,
Gerald,Wilkins,,,
Jerrod,Mustaf,,,
Kiki,Vandeweghe,,,
Mark,Jackson,,,
Maurice,Cheeks,,,
Patrick,Ewing,,,
Stuart,Gray,,,
Trent,Tucker,,,
Greg,Grant,,,
John,Starks,,,
Kenny,Walker,,,
John,Jenkins,,6,4
Billy,Garrett,G-F,,
Amir,Hinton,G,,
Ivan,Rabb,F,6,10
Kadeem,Allen,,6,3
Allonzo,Trier,G,6,5
Trey,Davis,G,,
Justin,Patton,C,7,0
Ante,Tomic,C,,
Tadija,Dragicevic,F,,
Sergio,Llull,G,,
Mathias,Lessort,F,,
Ognen,Jaramaz,G,,
Quinton,Rose,G-F,,
Terrance,Ferguson,G,6,7
Tyler,Hall,G,,
Derrick,Rose,G,6,3
Axel,Hervelle,F,,
Louis,Labeyrie,F-C,,
Kemba,Walker,G,6,1
Alec,Burks,G,6,6
Reid,Travis,F,,
Damyean,Dotson,G,6,6
John,Henson,F,6,11
Evan,Fournier,G-F,6,7
Vincent,Poirier,C,,
Luca,Vildoza,G,,
Dwayne,Bacon,G-F,6,7
Taj,Gibson,F,6,9
Wayne,Selden,G-F,6,5
Aamir,Simms,F,,
Obi,Toppin,F,,
Immanuel,Quickley,G,,
Rokas,Jokubaitis,G,,
Mitchell,Robinson,C,7,1
Quentin,Grimes,G,,
Nerlens,Noel,F-C,6,11
Solomon,Hill,F,6,7
Ryan,Arcidiacono,G,6,3
RJ,Barrett,F-G,,
Cameron,Reddish,F-G,,
Miles,McBride,G,,
Luka,Samanic,F,,
Matt,Mooney,G,,
Julius,Randle,F,6,9
Jericho,Sims,F,,
