first_name,last_name,position,height_feet,height_inches
Alex,Abrines,G,6,6
Tyler,Davis,C,,
Marty,Conlon,,,
Rich,King,,,
Ervin,Johnson,,,
Chris,King,,,
Alphonso,Ford,,,
Dontonio,Wingfield,,,
Eric,Snow,,,
Sherell,Ford,,,
James,Cotton,,,
Rashard,Lewis,,,
Jelani,McCoy,,,
Vladimir,Stepania,,,
Lazaro,Borrell,,,
Desmond,Mason,G,,
Ruben,Wolkowyski,,,
Olumide,Oyedeji,,,
Vladimir,Radmanovic,,,
Earl,Watson,,,
Predrag,Drobnjak,,,
Ansu,Sesay,,,
Reggie,Evans,F,,
Luke,Ridnour,,,
Richie,Frahm,,,
Nick,Collison,,,
Robert,Swift,,,
Damien,Wilkins,,,
Ibrahim,Kutluay,,,
Johan,Petro,C,,
Noel,Felix,,,
Mouhamed,Sene,C,,
Mickael,Gelabale,,,
Andreas,Glyniadakis,,,
Desmon,Farmer,,,
Andre,Brown,,,
Kyle,Weaver,,,
Steven,Hill,,,
DJ,White,,,
Byron,Mullens,,,
Antonio,Anderson,,,
Cole,Aldrich,,,
Ryan,Reid,,,
Perry,Jones III,,,
Scotty,Hopson,,,
Mitch,McGary,,,
Josh,Huestis,,,
Dakari,Johnson,,,
Dennis,Johnson,,,
Fred,Brown,,,
Gus,Williams,,,
James,Bailey,,,
John,Johnson,,,
Lonnie,Shelton,,,
Paul,Silas,,,
Tom,LaGarde,,,
Wally,Walker,,,
Bill,Hanzlik,,,
Jacky,Dorsey,,,
Danny,Vranes,,,
Mark,Radford,,,
John,Greig,,,
Scooter,McCray,,,
Cory,Blackwell,,,
John,Schweitz,,,
Mike,Phelps,,,
Brian,Martin,,,
Curtis,Kitchen,,,
Mike,Champion,,,
Dana,Barros,,,
Derrick,McKey,,,
Gary,Payton,,,
Michael,Cage,,,
Olden,Polynice,,,
Quintin,Dailey,,,
Sedale,Threatt,,,
Shawn,Kemp,,,
Xavier,McDaniel,,,
Nate,McMillan,,,
Scott,Meents,,,
Dave,Corzine,,,
Dale,Ellis,,,
Jawun,Evans,,6,0
Raymond,Felton,G,6,1
Abdul,Gaddy,G,,
Myke,Henry,,,
Sofoklis,Schortsanitis,F-C,,
Szymon,Szewczyk,F,,
Yotam,Halperin,G,,
DeVon,Hardin,F,,
Devon,Hall,G,,
Kevin,Hervey,F,,
Deonte,Burton,G,6,5
Abdul,Shamsid-Deen,F,,
Paccelis,Morlende,G,,
Vasilije,Micic,G,,
Darius,Miller,F,6,8
Emmitt,Williams,F,,
Ryan,Woolridge,G,,
Rob,Edwards,G,,
Gabriel,Deck,,,
Jalen,Lecque,G,,
Meyers,Leonard,F-C,7,1
Josh,Hall,F,,
Mamadi,Diakite,F,,
Derrick,Favors,F-C,6,10
Oscar,da Silva,F,,
Aleksej,Pokusevski,C,,
Shai,Gilgeous-Alexander,G,6,6
Luguentz,Dort,G,,
Isaiah,Roby,F,,
Kenrich,Williams,G-F,6,7
Ty,Jerome,G,,
Theo,Maledon,G,,
Darius,Bazley,F,,
Lindy,Waters III,F,,
Tre,Mann,G,,
Paul,Watson,G,,
Aaron,Wiggins,G,,
KZ,Okpala,F,,
Jaylen,Hoard,F,,
Mike,Muscala,F-C,6,11
Vit,Krejci,G,,
Josh,Giddey,G,,
Olivier,Sarr,C,,
Jeremiah,Robinson-Earl,F,,
