first_name,last_name,position,height_feet,height_inches
Michael,Ansley,,,
Nick,Anderson,,,
Dennis,Scott,,,
Terry,Catledge,,,
Scott,Skiles,,,
Sam,Vincent,,,
Otis,Smith,,,
Mark,Acres,,,
Greg,Kite,,,
Jeff,Turner,,,
Stanley,Roberts,,,
Bison,Dele,,,
Anthony,Bowie,,,
Chris,Corchiani,,,
Stephen,Thompson,,,
Shaquille,O'Neal,,,
Litterial,Green,,,
Anfernee,Hardaway,,,
Keith,Tower,,,
Geert,Hammink,,,
Brooks,Thompson,,,
Darrell,Armstrong,,,
David,Vaughn,,,
Amal,McCaskill,,,
Brian,Evans,,,
Johnny,Taylor,,,
Jason,Lawson,,,
Michael,Doleac,,,
Matt,Harpring,,,
Miles,Simon,,,
Jonathan,Kerner,,,
Corey,Maggette,,,
Chucky,Atkins,,,
Mike,Miller,,,
Steven,Hunter,,,
Jeryl,Sasser,,,
Pat,Burke,C,,
Ryan,Humphrey,,,
Britton,Johnsen,F,,
Reece,Gaines,,,
Keith,Bogans,,,
Desmond,Penigar,,,
Jameer,Nelson,,,
Mario,Kasun,,,
Mark,Jones,,,
Travis,Diener,,,
James,Augustine,,,
Justin,Harper,,,
Daniel,Orton,,,
DeAndre,Liggins,,,
Andrew,Nicholson,,,
DeQuan,Jones,F,,
Adonis,Thomas,,,
Keith,Appling,,,
Stephen,Zimmerman,,,
Patricio,Garino,,,
Jamel,Artis,,,
Rodney,Purvis,,,
Jerry,Reynolds,,,
Mark,McNamara,,,
Morlon,Wiley,,,
Isaiah,Briscoe,G,6,3
Timofey,Mozgov,C,7,1
Jon,Davis,G,,
Isaac,Humphries,C,,
Terrence,Ross,G-F,6,7
Amile,Jefferson,F,6,9
Josh,Magette,,,
Aleem,Ford,F,,
BJ,Johnson,F,,
Devin,Cannady,G,,
Tahjere,McCall,G,,
Yante,Maten,F,6,8
D.J.,Hogg,F,,
Donta,Hall,F,,
Hassani,Gravett,G,,
Robin,Lopez,C,7,0
Rashard,Griffith,C,,
Barry,Brown,G,,
Remon,Van de Hare,C,,
Fran,Vazquez,F-C,,
Janis,Timma,F,,
PJ,Dozier,G-F,6,6
Shakur,Juiston,F,,
Amar,Sylla,F,,
Jaire,Grayer,G,,
Gary,Harris,G,6,4
Markelle,Fultz,G,6,4
Mo,Bamba,C,7,0
Sindarius,Thornwell,G,6,5
Tahj,Eaddy,G,,
Asbjorn,Midtgaard,C,,
Jeremiah,Tilmon,C,,
Justin,Jackson,F,,
E'Twaun,Moore,G,6,4
Wendell,Carter Jr.,F,6,10
Admiral,Schofield,F,,
Moritz,Wagner,C,6,11
Mychal,Mulder,G,,
Michael,Carter-Williams,G,,
Cole,Anthony,G,,
R.J.,Hampton,G,,
Bol,Bol,C,,
Ignas,Brazdeikis,F,,
Jonathan,Isaac,F,6,10
Chuma,Okeke,F,,
Jalen,Suggs,G,,
Freddie,Gillespie,F,,
Franz,Wagner,F,,
