first_name,last_name,position,height_feet,height_inches
Amir,Johnson,C-F,6,9
Mitchell,Wiggins,,,
Tharon,Mayes,,,
Charles,Shackleford,,,
Jeff,Ruland,,,
Clar.,Weatherspoon,,,
Thomas,Jordan,,,
Michael,Curry,,,
Shawn,Bradley,,,
Warren,Kidd,,,
Greg,Graham,,,
Bill,Edwards,,,
B.J.,Tyler,,,
Derrick,Alston,,,
Sharone,Wright,,,
Jerome,Harmon,,,
Jerry,Stackhouse,,,
Allen,Iverson,G,,
Mark,Bradtke,,,
Mark,Hendrickson,,,
Tim,Thomas,,,
Anthony,Parker,,,
Kebu,Stewart,,,
Larry,Hughes,,,
Casey,Shaw,,,
Nazr,Mohammed,,,
Todd,MacCulloch,,,
Jumaine,Jones,,,
Ira,Bowman,,,
Pepe,Sanchez,,,
Raja,Bell,,,
Speedy,Claxton,G,,
Damone,Brown,,,
Alvin,Jones,,,
Samuel,Dalembert,,,
John,Salmons,,,
Efthimios,Rentzias,,,
Willie,Green,,,
Deng,Gai,,,
Shavlik,Randolph,,,
Rodney,Carney,,,
Ivan,McFarlin,,,
Bobby,Jones,,,
Steven,Smith,,,
Marreese,Speights,,,
Craig,Brackins,,,
Lavoy,Allen,,,
Xavier,Silas,,,
Maalik,Wayns,,,
Arnett,Moultrie,,,
Brandon,Davies,,,
Hollis,Thompson,,,
Casper,Ware,,,
KJ,McDaniels,,,
Drew,Gordon,,,
Ronald,Roberts Jr.,,,
Furkan,Aldemir,,,
Larry,Drew II,,,
Shawn,Long,,,
Jacob,Pullen,,,
Bobby,Jones,,,
Caldwell,Jones,,,
Darryl,Dawkins,,,
Doug,Collins,,,
Eric,Money,,,
Henry,Bibby,,,
Julius,Erving,,,
Steve,Mix,,,
Bernard,Toone,,,
Jim,Spanarkel,,,
Clint,Richardson,,,
Al,Skinner,,,
Monti,Davis,,,
Andrew,Toney,,,
Franklin,Edwards,,,
Marc,Iavaroni,,,
Mitchell,Anderson,,,
Russ,Schoene,,,
Leo,Rautins,,,
Greg,Stokes,,,
Voise,Winters,,,
Jim,Lampley,,,
Chris,Welp,,,
Dave,Henderson,,,
Dexter,Shouse,,,
Brian,Oliver,,,
Charles,Barkley,,,
Hersey,Hawkins,,,
Jayson,Williams,,,
Johnny,Dawkins,,,
Manute,Bol,,,
Mike,Gminski,,,
Rick,Mahorn,,,
Rickey,Green,,,
Ron,Anderson,,,
Kenny,Payne,,,
Jim,Farmer,,,
Andre,Turner,,,
Mario,Elie,,,
Tony,Harris,,,
Robert,Reid,,,
Jonathon,Simmons,F,6,6
Christ,Koumadje,C,,
Isaiah,Miles,F,,
Lamar,Peters,G,,
Filip,Petrusev,C,,
Emir,Preldzic,F,,
Aaron,Henry,G,,
Charles,Matthews,F,,
Paul,Millsap,F,6,8
DeAndre,Jordan,C,6,11
Frank,Mason,G,5,11
Ryan,Broekhoff,G-F,6,7
Kyle,O'Quinn,C,6,10
Danny,Green,G-F,6,6
Willie,Cauley-Stein,C,7,0
Georges,Niang,F,6,8
Furkan,Korkmaz,G-F,6,7
Grant,Riller,G,,
Marial,Shayok,G,,
Mike,Scott,F,6,8
Zhaire,Smith,G,6,4
Joel,Embiid,F-C,7,0
Paul,Reed,F,,
Isaiah,Joe,G,,
Charles,Brown,G,,
Shake,Milton,G,6,6
Tobias,Harris,F,6,9
Myles,Powell,G,,
Tyrese,Maxey,G,,
Charles,Bassey,G,,
James,Harden,G,6,5
Matisse,Thybulle,G-F,,
Braxton,Key,G,,
Jaden,Springer,G,,
