first_name,last_name,position,height_feet,height_inches
Kevin,Johnson,,,
Dan,Majerle,,,
Tom,Chambers,,,
Mark,West,,,
Cedric,Ceballos,,,
Tim,Perry,,,
Kenny,Battle,,,
Ian,Lockhart,,,
Jeff,Hornacek,,,
Ed,Nealy,,,
Kurt,Rambis,,,
Steve,Burtt,,,
Oliver,Miller,,,
Alex,Stivrins,,,
Frank,Johnson,,,
Tim,Kempton,,,
Richard,Dumas,,,
Malcolm,Mackey,,,
Skeeter,Henry,,,
Antonio,Lang,,,
Wesley,Person,,,
Trevor,Ruffin,,,
Aaron,Swinson,,,
Chris,Carr,,,
Michael,Finley,,,
Stefano,Rusconi,,,
Mario,Bennett,,,
John,Coker,,,
Steve,Nash,,,
Ben,Davis,,,
Dexter,Boney,,,
Horacio,Llamas,,,
Marko,Milic,,,
Pat,Garrity,,,
Gerald,Brown,,,
Toby,Bailey,,,
Alvin,Sims,,,
Shawn,Marion,G,,
Daniel,Santiago,,,
Paul,McPherson,,,
Ruben,Garces,,,
Jake,Tsakalidis,,,
Alton,Ford,,,
Charlie,Bell,,,
Amar'e,Stoudemire,,,
Casey,Jacobsen,,,
Zarko,Cabarkapa,,,
Leandro,Barbosa,,,
Maciej,Lampe,,,
Jackson,Vroman,,,
Yuta,Tabuse,,,
Dijon,Thompson,,,
Sharrod,Ford,,,
DJ,Strawberry,,,
Alando,Tucker,,,
Sean,Singletary,,,
Earl,Clark,,,
Taylor,Griffin,,,
Garret,Siler,,,
Gani,Lawal,,,
Zabian,Dowdell,,,
Kendall,Marshall,,,
Luke,Zeller,,,
Diante,Garrett,,,
Archie,Goodwin,,,
Dionte,Christmas,,,
Tyler,Ennis,,,
Zoran,Dragic,,,
Alec,Peters,,,
Alvan,Adams,,,
Alvin,Scott,,,
Don,Buse,,,
Garfield,Heard,,,
Jeff,Cook,,,
Joel,Kramer,,,
Johnny,High,,,
Mike,Bratz,,,
Paul,Westphal,,,
Truck,Robinson,,,
Kyle,Macy,,,
Mike,Niles,,,
Craig,Dykema,,,
John,McCullough,,,
David,Thirdkill,,,
Rory,White,,,
Charlie,Pittman,,,
Rod,Foster,,,
Michael,Holton,,,
Charles,Jones,,,
Michael,Young,,,
Georgi,Glouchkov,,,
Nick,Vanos,,,
Grant,Gondrezick,,,
Winston,Crite,,,
Mike,Morrison,,,
Eddie,Johnson,,,
Kurt,Rambis,,,
Andrew,Lang,,,
Negele,Knight,,,
Joe,"Barry,Carroll",,,
Jimmer,Fredette,,,
Chris,Paul,G,6,0
Tyrique,Jones,F-C,,
David,Kramer,G,,
Chasson,Randle,G,6,2
Jonah,Bolden,F,6,10
Justin,Simon,G,,
Ron,Ellis,F,,
Milos,Vujanic,G,,
Abdel,Nader,F,6,6
Dwayne,Collins,F,,
Gabriel,Lundberg,,,
Vitto,Brown,F,,
Zach,Hankins,C,,
Kyle,Alexander,F,,
JaVale,McGee,C,7,0
Cameron,Payne,G,,
Cenk,Akyol,G,,
Bismack,Biyombo,C,6,9
Michael,Frazier,G,,
Elie,Okobo,G,6,3
Frank,Kaminsky,F-C,7,0
Devin,Booker,G,6,6
Elfrid,Payton,G,6,4
Justin,Jackson,F,6,8
Chandler,Hutchison,F,6,7
Dario,Saric,F,6,10
Alpha,Diallo,F,,
Jon Axel,Gudmundsson,G,,
Trey,Kell,G,,
Jo,Lual-Acuil Jr.,C,,
Emmanuel,Nzekwesi,F,,
Jaleen,Smith,G,,
Ty-Shon,Alexander,G,,
Emanuel,Terry,,6,9
Nate,Mason,G,,
Mikal,Bridges,F,6,7
Paris,Bass,F,,
Aaron,Holiday,G,6,1
Cameron,Johnson,F,,
Landry,Shamet,G,6,5
Deandre,Ayton,C,7,1
Jae,Crowder,F,6,6
Torrey,Craig,F,6,7
MJ,Walker,G,,
Ish,Wainright,F,,
