first_name,last_name,position,height_feet,height_inches
Kosta,Koufos,C,7,0
Zach,Randolph,F,,
Pete,Chilcutt,,,
Randy,Brown,,,
Carl,Thomas,,,
Walt,Williams,,,
Stan,Kimbrough,,,
Bobby,Hurley,,,
Mike,Peplowski,,,
Evers,Burns,,,
Brian,Grant,,,
Henry,Turner,,,
Michael,Smith,,,
Derrick,Phelps,,,
Tyus,Edney,,,
Corliss,Williamson,,,
Clint,McDaniel,,,
Kevin,Salvadori,,,
Devin,Gray,,,
Michael,Stewart,,,
Anthony,Johnson,,,
Derek,Grimm,,,
Lawrence,Funderburke,,,
Tariq,Abdul-Wahad,,,
Jason,Williams,G,,
Peja,Stojakovic,,,
Jerome,James,,,
Peter,Aluma,,,
Hedo,Turkoglu,,,
Jabari,Smith,,,
Art,Long,,,
Gerald,Wallace,,,
Darius,Songaila,,,
Kevin,Martin,,,
Erik,Daniels,,,
Francisco,Garcia,,,
Ronnie,Price,,,
Quincy,Douby,,,
Justin,Williams,,,
Darryl,Watkins,,,
Mustafa,Shakur,,,
Spencer,Hawes,,,
Jason,Thompson,,,
Bobby,Brown,,,
Donte,Greene,,,
Jon,Brockman,,,
Pooh,Jeter,,,
Tyler,Honeycutt,,,
Thomas,Robinson,,,
Ray,McCallum,,,
Willie,Reed,,,
David,Wear,,,
Sim,Bhullar,,,
Duje,Dukan,,,
Georgios,Papagiannis,,,
Bill,Robinzine,,,
Billy,McKinney,,,
Ernie,Grunfeld,,,
Marlon,Redmond,,,
Mike,Green,,,
Otis,Birdsong,,,
Phil,Ford,,,
Reggie,King,,,
Sam,Lacey,,,
Scott,Wedman,,,
Gus,Gerard,,,
Terry,Crosby,,,
Tom,Burleson,,,
Len,Elmore,,,
Charles,Whitney,,,
Frankie,Sanders,,,
Kevin,Loder,,,
Kenny,Dennard,,,
Brook,Steppe,,,
Dane,Suttle,,,
Larry,Micheaux,,,
David,Pope,,,
Carl,Henry,,,
David,Cooke,,,
Bruce,Douglas,,,
Johnny,Rogers,,,
Harold,Pressley,,,
Joe,Arlauckas,,,
Michael,Jackson,,,
Ben,Gillery,,,
Ricky,Berry,,,
Randy,Allen,,,
Mike,Williams,,,
Antoine,Carr,,,
Bill,Wennington,,,
Bob,Hansen,,,
Duane,Causwell,,,
Eric,Leckner,,,
Lionel,Simmons,,,
Ralph,Sampson,,,
Rory,Sparrow,,,
Steve,Colter,,,
Wayman,Tisdale,,,
Rick,Calloway,,,
Travis,Mays,,,
Leon,Wood,,,
Anthony,Bonner,,,
Jim,Les,,,
Anthony,Frederick,,,
Mike,Higgins,,,
Tony,Dawson,,,
Troy,Williams,F,6,7
Matt,Coleman III,G,,
Eric,Mika,C-F,,
Tyler,Lydon,F,6,10
Isaiah,Pineiro,F,,
Tyler,Ulis,G,,
Damien,Jefferson,F,,
Maurice,Harkless,F,6,9
Matt,Coleman,G,,
Alex,Antetokounmpo,F,,
Harrison,Barnes,F,6,8
Marcus,Graves,G,,
Joshua,Obiesie,G,,
Dimitrios,Agravanis,F,,
Luka,Mitrovic,F,,
Jeremy,Lamb,G,6,5
Princepal,Singh,F,,
Ade,Murkey,G,,
Vanja,Marinkovic,G-F,,
DJ,Steward,G,,
Johnathan,Williams,F,6,9
Emmanuel,Mudiay,G,6,5
Louis,King,F,,
Corey,Brewer,,6,9
Glenn,Robinson III,G-F,6,6
Alex,Oriakhi,F,,
Richaun,Holmes,F-C,6,10
Trey,Lyles,F,6,10
Domantas,Sabonis,F,6,11
Damian,Jones,C,7,0
Josh,Jackson,F,6,8
De'Aaron,Fox,G,6,3
Donte,DiVincenzo,G,6,4
Neemias,Queta,C,,
Terence,Davis,G,,
Chimezie,Metu,F,6,10
Jahmi'us,Ramsey,G,,
Justin,Holiday,F-G,6,6
Alex,Len,C,7,1
Davion,Mitchell,G,,
