first_name,last_name,position,height_feet,height_inches
Greg,Sutton,,,
Tom,Copa,,,
Donald,Royal,,,
Stephen,Bardo,,,
Lloyd,Daniels,,,
Vinny,Del Negro,,,
Matt,Othick,,,
Sam,Mack,,,
Chris,Whitney,,,
Julius,Nwosu,,,
Cory,Alexander,,,
Gaylon,Nickerson,,,
Jason,Sasser,,,
Tim,Duncan,F,,
Gerard,King,,,
Derrick,Dial,,,
Ira,Newble,,,
Manu,Ginobili,,,
Devin,Brown,,,
Alex,Garcia,,,
Beno,Udrih,,,
Fabricio,Oberto,,,
Melvin,Sanders,,,
Alex,Scales,,,
James,White,,,
Darius,Washington,,,
Marcus,Williams,,,
Keith,Langford,,,
Malik,Hairston,,,
DeJuan,Blair,,,
James,Anderson,,,
Gary,Neal,,,
Tiago,Splitter,,,
Larry,Owens,,,
Malcolm,Thomas,,,
Eric,Dawson,,,
Justin,Dentmon,,,
Derrick,Byars,,,
Nando,De Colo,,,
Nicolas,Laprovittola,,,
Brandon,Paul,,,
Matt,Costello,,,
Billy,Paultz,,,
George,Gervin,,,
Irv,Kiffin,,,
James,Silas,,,
Kevin,Restani,,,
Larry,Kenon,,,
Mark,Olberding,,,
Mike,Evans,,,
Mike,Gale,,,
Paul,Griffin,,,
Wiley,Peck,,,
Sylvester,Norris,,,
Harry,Davis,,,
Johnny,Moore,,,
Reggie,Johnson,,,
Michael,Wiley,,,
Gene,Banks,,,
Ed,Rains,,,
Steve,Hayes,,,
Rich,Yonakor,,,
Jim,Johnstone,,,
Oliver,Robinson,,,
Moses,Malone,,,
Kevin,Williams,,,
Darrell,Lockhart,,,
Bob,Miller,,,
Brant,Weidner,,,
Ozell,Jones,,,
Alfredrick,Hughes,,,
Mike,Brittain,,,
Forrest,McKenzie,,,
Nate,Blackwell,,,
Phil,Zevenbergen,,,
Richard,Rellford,,,
Keith,Smart,,,
Shelton,Jones,,,
Michael,Anderson,,,
Jeff,Lebo,,,
Zarko,Paspalj,,,
David,Greenwood,,,
David,Robinson,,,
Paul,Pressey,,,
Reggie,Williams,,,
Sean,Elliott,,,
Sean,Higgins,,,
Sidney,Green,,,
Terry,Cummings,,,
Tony,Massenburg,,,
Byron,Dinkins,,,
Dwayne,Schintzius,,,
Rod,Strickland,,,
Willie,Anderson,,,
Pete,Myers,,,
Clifford,Lett,,,
David,Wingate,,,
Dante,Cunningham,F,6,8
Quincy,Pondexter,F,6,7
Donatas,Motiejunas,,,
Kaleb,Johnson,G,,
Robertas,Javtokas,F,,
Giorgos,Printezis,F,,
Adam,Hanga,G-F,,
Cady,Lalanne,C-F,,
Nikola,Milutinov,C-F,,
Zach,Norvell Jr.,G,,
Stephen,Domingo,G,,
Marco,Belinelli,G-F,6,5
Jahlil,Tripp,F,,
Viktor,Sanikidze,F,,
Sergei,Karaulov,C,,
Erazem,Lorbek,F,,
Matt,Mitchell,F,,
Anthony,Lamb,F,,
Nate,Renfro,F,,
Doug,McDermott,F,6,8
Robert,Woodard II,F,,
Skal,Labissiere,F,6,11
Dejounte,Murray,G,6,5
Tyler,Johnson,G,6,4
Keita,Bates-Diop,F,6,9
Justin,Turner,G,,
Biram,Faye,C,,
Eric,Demers,G,,
Tyler,Zeller,,,
Devontae,Cacok,F-C,,
Justin,Robinson,F,,
Devin,Vassell,G-F,,
Tre,Jones,G,,
Lonnie,Walker IV,G,6,5
Jaylen,Morris,G,6,5
Jock,Landale,C,,
Josh,Richardson,G-F,6,6
Zach,Collins,F-C,7,0
Jakob,Poeltl,C,7,0
Joshua,Primo,G,,
D.J.,Stewart Jr.,G-F,,
Keldon,Johnson,F,,
Romeo,Langford,G,,
Joe,Wieskamp,G-F,,
