first_name,last_name,position,height_feet,height_inches
Lorenzo,Brown,G,,
Damon,Stoudamire,,,
Jimmy,King,,,
Vincenzo,Esposito,,,
Martin,Lewis,,,
Dwayne,Whitfield,,,
Marcus,Camby,,,
Donald,Whiteside,,,
Tracy,McGrady,,,
Chris,Garner,,,
Ed,Stokes,,,
Mark,Baker,,,
Sean,Marks,,,
Aleksandar,Radojevic,,,
Morris,Peterson,,,
Garth,Joseph,,,
Mamadou,N'diaye,,,
Carlos,Arroyo,,,
Michael,Bradley,,,
Nate,Huffman,,,
Chris,Jefferies,,,
Chris,Bosh,,,
Rafael,Araujo,,,
Matt,Bonner,,,
Pape,Sow,,,
Joey,Graham,F,,
Charlie,Villanueva,,,
Jorge,Garbajosa,,,
Andrea,Bargnani,,,
Uros,Slokar,,,
Jamario,Moon,,,
Roko,Ukic,,,
Nathan,Jawai,,,
Solomon,Alabi,,,
Quincy,Acy,,,
Dwight,Buycks,,,
Lucas,Nogueira,,,
Jeremy,Lin,G,6,3
Jordan,Loyd,G,6,4
Sam,Dekker,F,6,9
Jodie,Meeks,G,,
Sagaba,Konate,F,,
Shamorie,Ponds,G,,
Isaiah,Taylor,,,
Matt,Morgan,G,,
DeeAndre,Hulett,G-F,,
Henry,Ellenson,F,6,11
Anas,Mahmoud,C,,
Isiaha,Mike,F,,
Chris,Boucher,F,6,10
Jalen,Adams,G,,
Thaddeus,Young,F,6,8
Rayshaun,Hammonds,F,,
Zaccheus,Darko-Kelly,G-F,,
Aron,Baynes,C-F,6,10
Khem,Birch,C,6,9
Patrick,McCaw,,6,7
Ashton,Hagans,G-F,,
Pascal,Siakam,F,6,9
Daniel,Oturu,C,,
Jalen,Harris,G,,
Fred,VanVleet,G,6,0
Juwan,Morgan,F,,
D.J.,Wilson,F,6,10
Precious,Achiuwa,F,,
Malachi,Flynn,G,,
Isaac,Bonga,G,6,8
Svi,Mykhailiuk,G,6,8
Gary,Trent Jr.,,6,6
Yuta,Watanabe,G,6,9
OG,Anunoby,F,6,8
Justin,Champagnie,F,,
Scottie,Barnes,G-F,,
Armoni,Brooks,G,,
Dalano,Banton,G,,
David,Johnson,G,,
