first_name,last_name,position,height_feet,height_inches
Malachi,Richardson,G,,
Mark,Eaton,,,
Darrell,Griffith,,,
Blue,Edwards,,,
Walter,Palmer,,,
Jeff,Malone,,,
Mike,Brown,,,
Karl,Malone,,,
Chris,Munk,,,
Delaney,Rudd,,,
Andy,Toolson,,,
Thurl,Bailey,,,
David,Benoit,,,
Corey,Crowder,,,
Eric,Murdock,,,
John,Crotty,,,
Stephen,Howard,,,
Bryon,Russell,,,
Luther,Wright,,,
Aaron,Williams,,,
Chad,Gallagher,,,
Jamie,Watson,,,
Greg,Ostertag,,,
Shandon,Anderson,,,
Ruben,Nembhard,,,
Jacque,Vaughn,,,
Troy,Hudson,,,
William,Cunningham,,,
Quincy,Lewis,,,
Scott,Padgett,,,
DeShawn,Stevenson,,,
Andrei,Kirilenko,,,
Jarron,Collins,,,
Ben,Handlogten,,,
Sasha,Pavlovic,,,
Raul,Lopez,,,
Mo,Williams,,,
Curtis,Borchardt,,,
Kirk,Snyder,,,
Kris,Humphries,,,
Deron,Williams,,,
Robert,Whaley,,,
Andre,Owens,,,
Ronnie,Brewer,,,
Dee,Brown,,,
Roger,Powell,,,
Lou,Amundson,,,
Morris,Almond,,,
Kyrylo,Fesenko,,,
Eric,Maynor,,,
Sundiata,Gaines,,,
Othyus,Jeffers,,,
Jeremy,Evans,,,
Marcus,Cousin,,,
Kevin,Murphy,,,
Patrick,Christopher,,,
Elijah,Millsap,,,
Jack,Cooley,,,
Bryce,Cotton,,,
Jerrelle,Benimon,,,
Tibor,Pleiss,,,
JJ,O'Brien,,,
Joel,Bolomboy,,,
Allan,Bristow,,,
Ben,Poquette,,,
Don,Williams,,,
Greg,Deane,,,
James,Hardy,,,
John,Gianelli,,,
Paul,Dawkins,,,
Pete,Maravich,,,
Robert,Smith,,,
Andre,Wakefield,,,
John,Brown,,,
Mack,Calvin,,,
Carl,Kilpatrick,,,
Brett,Vroman,,,
John,Duren,,,
Jeff,Wilkins,,,
Mel,Bennett,,,
Bobby,Cattage,,,
Howard,Wood,,,
Jerry,Eaves,,,
Rickey,Williams,,,
Carey,Scurry,,,
Scott,Roth,,,
Eddie,Hughes,,,
Jose,Ortiz,,,
Eric,Johnson,,,
Nate,Johnston,,,
Raymond,Brown,,,
John,Stockton,,,
Pat,Cummings,,,
Dan,O'Sullivan,,,
Tyler,Cavanaugh,F,6,9
Ekpe,Udoh,C-F,6,10
Jarell,Martin,F,6,10
Stanton,Kidd,F,,
Peter,Fehse,F,,
Mario,Austin,F,,
Rudy,Gay,F,6,8
Norvel,Pelle,F,,
Denzel,Valentine,G,6,6
Paul,White,F,,
Derrick,Alston Jr.,F,,
MaCio,Teague,G,,
Nigel,Williams-Goss,G,,
Nathan,Sestina,F,,
Jordan,Clarkson,G,6,5
Jared,Butler,G,,
Marques,Bolden,C,,
Jarrell,Brantley,F,,
Mike,Conley,G,6,1
D.J.,Funderburk,F,,
Kyle,Fogg,G,,
Juancho,Hernangomez,F,6,9
Eric,Paschall,F,,
Hassan,Whiteside,C,7,0
Bojan,Bogdanovic,F,6,8
Royce,O'Neale,F,6,6
Donovan,Mitchell,G,6,3
Udoka,Azubuike,C-F,,
Rudy,Gobert,C,7,1
Danuel,House Jr.,,6,7
Xavier,Sneed,F,,
Nickeil,Alexander-Walker,G,,
Trent,Forrest,G,,
