first_name,last_name,position,height_feet,height_inches
Greg,Foster,,,
Byron,Irvin,,,
Mark,Alarie,,,
A.J.,English,,,
Darrell,Walker,,,
Charles,Jones,,,
Haywoode,Workman,,,
Tom,Hammonds,,,
Larry,Robinson,,,
Bernard,King,,,
Albert,King,,,
Larry,Stewart,,,
Labradford,Smith,,,
Derek,Strong,,,
Brent,Price,,,
Don,MacLean,,,
Tom,Gugliotta,,,
Doug,Overton,,,
Calbert,Cheaney,,,
Mitchell,Butler,,,
Tito,Horford,,,
Gheorghe,Muresan,,,
Andrew,Gaze,,,
Anthony,Tucker,,,
Jim,McIlvaine,,,
Juwan,Howard,,,
Jeff,Webster,,,
Rasheed,Wallace,,,
Cedric,Lewis,,,
Ben,Wallace,,,
God,Shammgod,,,
Jahidi,White,,,
Randell,Jackson,,,
Richard,Hamilton,,,
Laron,Profit,,,
Calvin,Booth,,,
Mike,Smith,,,
David,Vanterpool,,,
Kwame,Brown,,,
Bobby,Simmons,,,
Etan,Thomas,,,
Brendan,Haywood,,,
Jared,Jeffries,,,
Juan,Dixon,,,
Jarvis,Hayes,F,,
Steve,Blake,,,
Peter,John Ramos,,,
Donell,Taylor,,,
Andray,Blatche,,,
Mike,Hall,,,
Nick,Young,,,
Dominic,McGuire,,,
Oleksiy,Pecherov,,,
Alonzo,Gee,,,
Trevor,Booker,,,
Hamady,Ndiaye,,,
Kevin,Seraphin,,,
Chris,Singleton,,,
Jan,Vesely,,,
Edwin,Ubiles,,,
Glen,Rice,,,
Daniel,Ochefu,,,
Mike,Young,,,
Bob,Dandridge,,,
Elvin,Hayes,,,
Greg,Ballard,,,
Kevin,Grevey,,,
Kevin,Porter,,,
Larry,Wright,,,
Roger,Phegley,,,
Wes,Unseld,,,
Gus,Bailey,,,
Phil,Chenier,,,
Steve,Malovic,,,
Mitch,Kupchak,,,
Lawrence,Boston,,,
Ron,Behagen,,,
Wes,Matthews,,,
Carlos,Terry,,,
David,Britton,,,
Keith,McCord,,,
Andre,McCarter,,,
Lewis,Brown,,,
Charlie,Davis,,,
Garry,Witts,,,
Bryan,Warrick,,,
Dave,Batton,,,
Steve,Lingenfelter,,,
John,Cox,,,
Joe,Kopicki,,,
Darren,Daye,,,
Mike,Wilson,,,
Mike,Gibson,,,
Tom,Sewell,,,
Guy,Williams,,,
Perry,Moss,,,
Kenny,Green,,,
Claude,Gregory,,,
Anthony,Jones,,,
Dominic,Pressley,,,
Ed,Horton,,,
Doug,Roth,,,
Harvey,Grant,,,
Pervis,Ellison,,,
Ledell,Eackles,,,
Clinton,Smith,,,
John,Williams,,,
Wesley,Johnson,F-G,6,7
Tarik,Phillip,G,,
Phil,Booth,G,,
Kyree,Walker,F,,
Jordan,Goodwin,G,,
Austin,Hollins,G-F,,
Jarrod,Uthoff,,,
Corey,Kispert,F,,
Jordan,Schakel,G,,
Issuf,Sanon,G,,
Jerian,Grant,G,6,4
Jaime,Echenique,C,,
Dewan,Hernandez,C,,
Thomas,Bryant,C,6,11
Craig,Sword,G,,
Ian,Mahinmi,C,6,11
Melvin,Frazier Jr.,G-F,6,6
Tomas,Satoransky,G-F,6,7
Shabazz,Napier,G,6,1
Raul,Neto,G,6,1
Cassius,Winston,G,,
Xavier,Rathan-Mayes,,,
Asante,Gist,,,
Isaiah,Todd,F,,
Asante,Gist,,,
Caleb,Homesley,G,,
Justin,Wright-Foreman,G,,
Brad,Wanamaker,G,6,4
Joe,Young,,,
Deni,Avdija,F,,
Jordan,Goodwin,,,
Aubrey,Dawkins,G-F,,
Rui,Hachimura,F,,
Ish,Smith,G,6,0
Bradley,Beal,G,6,5
Daniel,Gafford,F,,
Vernon,Carey Jr.,F-C,,
Kyle,Kuzma,F,6,9
Joel,Ayayi,G,,
Tremont,Waters,G,,
Kentavious,Caldwell-Pope,G,6,5
Kristaps,Porzingis,F-C,7,3
Jaime,Echenique,,,
Anthony,Gill,F,,
